# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20240101
# Data de término: 20240220
ID do país,Usuários
AE,87
AO,391
AR,619
AT,81
AU,172
BE,597
BO,97
BR,1562966
CA,1367
CH,917
CL,251
CN,150
CO,350
CV,73
CZ,1244
DE,1886
DK,39
EC,40
ES,2019
FI,105
FR,1106
GB,655
GR,169
HK,38
HU,837
ID,1796
IE,499
IL,37
IN,973
IR,42
IT,1142
JP,409
KR,727
LT,62
LU,58
MA,182
MX,506
MZ,229
NL,1315
NO,380
NZ,504
PE,121
PH,43
PL,62
PT,3922
PY,279
RO,257
RU,113
SE,6379
SG,37
TH,817
TR,2702
US,14323
UY,205
VN,69
ZA,96

# Data de início: 20240101
# Data de término: 20240220
País,Usuários
BR,1562966
US,14323
SE,6379
PT,3922
TR,2702
ES,2019
DE,1886

#  
# Data de início: 20240101
# Data de término: 20240220
Cidade,Usuários
Natal,484962
Sao Paulo,103310
Parnamirim,100616
Fortaleza,89309
Mossoro,75472
Rio de Janeiro,55276
Recife,29493
Sao Goncalo do Amarante,24555
Maceio,24306
Belo Horizonte,23256
Joao Pessoa,21071
Brasilia,20714
Salvador,20129
Caico,20126
Curitiba,16817
Currais Novos,16190
Porto Alegre,13468
Acu,13384
Campinas,13032
Teresina,10748
Goiania,9839
Belem,8252
Macaiba,8229
Sao Jose de Mipibu,7584
Manaus,7442
Ceara-Mirim,7285
Campina Grande,6836
Sao Luis,6373
Florianopolis,5809
Campo Grande,5621
Santa Cruz,5408
Vila Velha,4462
Vitoria,4212
Niteroi,3732
Aracaju,3714
Uberlandia,3681
Guarulhos,3612
Cuiaba,3582
Sao Jose dos Campos,3433
Ribeirao Preto,3382
Sao Miguel,3319
Jaboatao dos Guararapes,3228
Maringa,2946
Ashburn,2921
Sao Bernardo do Campo,2850
Joinville,2736
Santo Andre,2606
New York,2569
Sao Goncalo,2519
Londrina,2515
Sorocaba,2513
Petropolis,2476
Feira de Santana,2460
Osasco,2406
Juiz de Fora,2394
Santos,2371
Palmas,2340
Guarabira,2245
Jundiai,2230
Contagem,2149
Serra,1997
Bauru,1982
Porto Velho,1963
Caxias do Sul,1932
Duque de Caxias,1900
Nova Iguacu,1828
Blumenau,1776
Mogi das Cruzes,1704
Paranavai,1660
Sao Jose do Rio Preto,1660
Juazeiro do Norte,1645
Paulista,1622
Campos dos Goytacazes,1613
Franca,1610
Xangri-la,1594
Praia Grande,1593
Ponta Grossa,1558
Sao Jose dos Pinhais,1552
Marica,1533
Montes Claros,1514
Aparecida de Goiania,1500
Sao Mateus do Sul,1497
Cascavel,1480
Lisbon,1475
Rolandia,1467
Jose Bonifacio,1461
Olinda,1455
Boa Vista,1454
Cabo Frio,1423
Rio Branco,1412
Petrolina,1360
Volta Redonda,1310
Taubate,1263
Piracicaba,1256
Barueri,1254
Macapa,1246
Braco do Norte,1245
Jequie,1213
Concordia,1207
Marilia,1177
Rio das Ostras,1168
Barra do Pirai,1150
Novo Gama,1147
Itajai,1140
Ananindeua,1129
Gunungsitoli Barat,1105
Vitoria da Conquista,1105
Uberaba,1096
Foz do Iguacu,1090
Vicosa,1083
Betim,1080
Sao Jose,1064
Sao Carlos,1054
Sao Francisco de Paula,1045
Itauna,1036
Monte Aprazivel,1009
Patos,1006
Canoas,999
Santa Maria,998
Pelotas,986
Joanopolis,971
Lauro de Freitas,970
Limeira,964
Presidente Prudente,957
Sousa,946
Anapolis,942
Istanbul,934
Balneario Camboriu,928
Imperatriz,927
Cotia,915
Sumare,910
Caucaia,902
Rondonopolis,889
Maua,882
Jacarei,876
Ipatinga,872
Serra Talhada,871
Divinopolis,866
Suzano,846
Indaiatuba,833
Ilheus,823
Sete Lagoas,823
Valinhos,818
Arapiraca,814
Governador Valadares,812
Peruibe,811
Braganca Paulista,810
Aracatuba,809
Catole do Rocha,806
Camacari,805
Parnaiba,804
Macae,803
Carapicuiba,801
Guaruja,801
Sao Borja,801
Americana,795
Cabo de Santo Agostinho,795
Chapeco,793
Limoeiro do Norte,793
Santa Rita,792
Cajazeiras,784
Araraquara,781
Dourados,779
Itaquaquecetuba,779
Pocos de Caldas,779
Diadema,769
Sao Joao de Meriti,769
Cabedelo,763
Sao Vicente,757
Taboao da Serra,752
Ipojuca,749
Garca,746
Santo Antonio de Jesus,738
Palhoca,734
Ribeirao das Neves,725
Bezerros,722
Viamao,719
Guara,704
Nova Friburgo,704
Rio Verde,703
Aracati,699
Garanhuns,696
Valparaiso de Goias,687
Vitoria de Santo Antao,683
Belford Roxo,677
Hortolandia,674
Criciuma,672
Santa Luzia,660
Maraba,654
Caraguatatuba,637
Guarapari,634
Santarem,633
Osorio,623
Jaragua do Sul,620
Patos de Minas,619
Goiana,618
Linhares,618
Cachoeiro de Itapemirim,617
Eusebio,616
Camaragibe,614
Maracanau,614
Passo Fundo,612
Araruama,607
Barreiras,606
Pouso Alegre,606
Sobral,602
Pindamonhangaba,598
Alafors,596
Mage,589
Tubarao,589
Aguas Lindas de Goias,586
Barbacena,586
Sao Caetano do Sul,584
Rio Claro,580
Angra dos Reis,571
Frankfurt,569
Muriae,568
Porto Seguro,566
Itanhaem,565
Novo Hamburgo,564
Tres Pontas,562
Lavras,559
Gravatai,556
Teresopolis,556
Itatiba,555
Sao Leopoldo,552
Varzea Grande,552
Carpina,549
Iguatu,548
Itabuna,546
Jau,538
Itajuba,530
Botucatu,529
Ourinhos,525
Bento Goncalves,522
Rio Grande,522
Gothenburg,518
Barcelona,516
Imbituba,511
Sao Gabriel,511
Austin,509
Itaborai,507
Forest City,504
Itu,504
Resende,504
Erechim,501
Juazeiro,499
Ubatuba,499
Bangkok,486
Picos,483
Gravata,482
Porto,472
Crato,471
Barra Mansa,470
Saquarema,469
Nilopolis,467
Ankara,466
Dublin,461
Catanduva,453
Varginha,453
Irece,450
Palmeira dos Indios,449
Paulinia,447
Cubatao,446
Mamanguape,446
Castanhal,443
Araguaina,442
Sinop,442
Alagoinhas,441
Colombo,441
Guaratingueta,438
Igarassu,431
Vinhedo,430
Embu,429
Atibaia,427
Guanambi,424
Sao Sebastiao,422
Itapetininga,420
Sao Joao del Rei,419
Conselheiro Lafaiete,416
Sao Mateus,416
Sao Lourenco da Mata,412
Paco do Lumiar,411
Molnlycke,407
Cataguases,404
Para de Minas,404
Santa Cruz do Sul,404
Joao Monlevade,403
Teofilo Otoni,403
Araripina,402
Sertaozinho,402
Itaperuna,400
Timon,400
Campo Largo,397
Caxias,397
Zurich,397
Torres,393
Penapolis,390
Santa Barbara d'Oeste,388
Araucaria,385
Madrid,385
Tatui,384
Votorantim,379
5551,377
Passos,376
Sao Pedro da Aldeia,373
Caratinga,370
Itapevi,370
Poa,368
Paulo Afonso,367
Salgueiro,367
Araxa,365
Sao Joao da Boa Vista,365
Senhor do Bonfim,360
Teixeira de Freitas,360
Pombal,358
Lages,357
Luziania,357
Toledo,357
Bayeux,352
Itapema,352
Mococa,352
Apucarana,350
Nova Lima,350
Guarapuava,347
Ibirite,344
Parauapebas,343
Catalao,342
Russas,342
Viana,339
London,338
Ararangua,336
Luanda,335
Sapucaia do Sul,335
Coffeyville,334
Ji-Parana,334
Lagarto,334
Arcoverde,332
Birigui,332
Santana de Parnaiba,331
Araras,330
Itabira,330
Ituiutaba,330
Trindade,328
Milan,327
Santa Rosa,326
Itaguai,324
Colatina,323
Tres Lagoas,323
Sao Jose de Ribamar,321
Montijo,320
Mogi Guacu,315
Paris,315
Araguari,312
Auckland,312
Avare,312
Curvelo,311
Sarandi,308
Franco da Rocha,306
Lulea,305
Seoul,305
Assis,303
Pirassununga,302
Santo Angelo,302
Simoes Filho,302
Tres Coracoes,302
Sabara,299
Paranagua,298
Kansas City,296
Mesquita,295
Tiangua,295
Mexico City,293
Biguacu,292
Buenos Aires,292
Formosa,290
Lagoa Santa,290
Marataizes,290
Santiago,290
Pinhais,286
Itaberaba,285
Navegantes,284
Venancio Aires,284
Votuporanga,284
Salto,283
Crateus,282
Lajeado,282
Santana do Ipanema,282
Uba,282
Valenca,282
Ponte Nova,281
Brusque,280
Cachoeirinha,278
Itapetinga,277
Jacobina,277
Barra do Garcas,275
Fazenda Rio Grande,275
Marechal Deodoro,275
Paraguacu Paulista,275
Cacador,274
Tramandai,274
Alvorada,272
Itapecerica da Serra,271
Surubim,269
Paracatu,268
Rio Largo,268
Guaira,266
Sao Francisco do Sul,266
Serrinha,266
Nova Serrana,265
Ampere,264
Patrocinio,264
Candeias,263
Lagoa da Prata,263
Barretos,262
Diamantina,262
Monteiro,262
Abreu e Lima,261
Miami,261
Santa Cruz do Capibaribe,261
Caldas Novas,260
San Antonio,258
Rio do Sul,257
Planaltina,256
Timoteo,255
Aquiraz,254
Bage,254
Goioere,253
Camaqua,252
Queimados,252
Bertioga,250
Francisco Morato,250
Janauba,250
Vilhena,250
Amsterdam,248
Sao Lourenco,247
Itupeva,246
Eunapolis,245
Bambui,244
Abaetetuba,243
Brumado,243
Ibiuna,243
Altamira,242
Andradina,240
Cachoeiras de Macacu,240
Registro,240
Los Angeles,239
Sao Sebastiao do Paraiso,239
Cidade Ocidental,235
Igarape,234
Umuarama,234
Alfenas,233
Izmir,231
Bombinhas,229
Matinhos,229
Itabaiana,228
Arapongas,227
Cangucu,227
Leme,227
Corumba,226
Mongagua,226
Pato Branco,226
Cacoal,225
Piraquara,225
Marechal Candido Rondon,224
Ribeirao Pires,223
Vespasiano,223
Maranguape,221
Balsas,220
Berlin,220
Penedo,220
Bonito,219
Guaiba,218
Itapipoca,218
Tangara da Serra,218
Horizonte,217
Cajamar,215
Pinhao,215
Valencia,215
Varzea Paulista,215
Caieiras,213
Cruz das Almas,213
Pirapora,211
Formiga,208
Marituba,208
Jaguariuna,207
Morrinhos,207
Itamaraca,206
Quixada,206
Sao Joao da Barra,206
Canela,205
Caceres,204
Monte Mor,204
Pontal do Parana,204
Seropedica,204
Camboriu,203
Senador Canedo,203
Barbalha,202
Unai,202
Clevelandia,201
Olimpia,201
Primavera do Leste,200
Sorriso,200
62530,199
Coronel Fabriciano,197
Cosmopolis,197
Francisco Beltrao,194
Bacabal,193
Gurupi,192
Jatai,192
Matao,192
Sant'Ana do Livramento,192
Aruja,190
Bebedouro,190
Guaratuba,190
Ponta Pora,190
Altoona,189
Brumadinho,189
Gramado,189
Luis Eduardo Magalhaes,189
Sapiranga,189
Timbo,189
Braganca,188
Ariquemes,187
Bucharest,187
Lins,187
Lorena,187
Mairipora,187
Americo Brasiliense,184
Bom Despacho,184
Cambe,184
Campo Belo,184
Tres Rios,184
Cachoeira do Sul,183
Uruguaiana,183
Caninde,182
Itapira,182
Leopoldina,182
Moji-Mirim,182
Pesqueira,182
Almirante Tamandare,181
Toronto,180
Blansko,179
Jandira,179
Nova Odessa,179
Santo Antonio do Descoberto,179
Boituva,178
Laguna,178
84166,177
Amparo,177
Aracruz,177
Itabirito,177
Oslo Municipality,177
Estancia,175
Cacapava,174
Codo,174
Ivaipora,174
Mirassol,174
Queimadas,174
Armacao dos Buzios,173
Pacatuba,173
Pedro Leopoldo,173
Cruz Alta,170
Ijui,170
Lompoc,170
