# ----------------------------------------
# https://tribunadonorte.com.br – GA4
# Sessões-sessoes dias do ano
# 20230101-20230220
# ----------------------------------------

Data,Nº dia,Sessões
,,3172108,Total geral
20230101,0000,42582
20230102,0001,80212
20230103,0002,63963
20230104,0003,80537
20230105,0004,57940
20230106,0005,43469
20230107,0006,42944
20230108,0007,44360
20230109,0008,56999
20230110,0009,62844
20230111,0010,59178
20230112,0011,59189
20230113,0012,59212
20230114,0013,55795
20230115,0014,50934
20230116,0015,52426
20230117,0016,62336
20230118,0017,57391
20230119,0018,62329
20230120,0019,65926
20230121,0020,66999
20230122,0021,46641
20230123,0022,61709
20230124,0023,72670
20230125,0024,65326
20230126,0025,67989
20230127,0026,64402
20230128,0027,49897
20230129,0028,55674
20230130,0029,72963
20230131,0030,60540
20230201,0031,55916
20230202,0032,68796
20230203,0033,59793
20230204,0034,51646
20230205,0035,40500
20230206,0036,67636
20230207,0037,70448
20230208,0038,75488
20230209,0039,74497
20230210,0040,70418
20230211,0041,48858
20230212,0042,59417
20230213,0043,69111
20230214,0044,83049
20230215,0045,83397
20230216,0046,96163
20230217,0047,66601
20230218,0048,47302
20230219,0049,51124
20230220,0050,52034

