# ----------------------------------------
# https://tribunadonorte.com.br – GA4
# Exploração sem título-sessoes dias do ano
# 20240101-20240218
# ----------------------------------------

Data,Nº dia,Sessões
,,3318541,Total geral
20240101,0000,54904
20240102,0001,62131
20240103,0002,60407
20240104,0003,65392
20240105,0004,70022
20240106,0005,61296
20240107,0006,46654
20240108,0007,56637
20240109,0008,77558
20240110,0009,66246
20240111,0010,66603
20240112,0011,67956
20240113,0012,61131
20240114,0013,57357
20240115,0014,65210
20240116,0015,70418
20240117,0016,73979
20240118,0017,80156
20240119,0018,67936
20240120,0019,54931
20240121,0020,66174
20240122,0021,84211
20240123,0022,69243
20240124,0023,80037
20240125,0024,96510
20240126,0025,83967
20240127,0026,55048
20240128,0027,56266
20240129,0028,70051
20240130,0029,100668
20240131,0030,87170
20240201,0031,63347
20240202,0032,74933
20240203,0033,61710
20240204,0034,51300
20240205,0035,72823
20240206,0036,67865
20240207,0037,71581
20240208,0038,65082
20240209,0039,61916
20240210,0040,44323
20240211,0041,43675
20240212,0042,55024
20240213,0043,50810
20240214,0044,71314
20240215,0045,73853
20240216,0046,70449
20240217,0047,57792
20240218,0048,86982

