# ----------------------------------------
# https://tribunadonorte.com.br – GA4
# Sessões-duracao med sessao dias do ano
# 20230101-20230220
# ----------------------------------------

Data,Nº dia,Duração média da sessão
,,346.9998462855237,Total geral
20230101,0000,352.4759093876756
20230102,0001,330.47100468725375
20230103,0002,422.3229015463002
20230104,0003,352.9434928371059
20230105,0004,442.3429352099067
20230106,0005,399.83269599956293
20230107,0006,354.91427594073673
20230108,0007,342.1834706735122
20230109,0008,479.39703120498604
20230110,0009,421.2578399190694
20230111,0010,429.61700682640515
20230112,0011,404.1785854291
20230113,0012,392.2547682614166
20230114,0013,271.4420296212564
20230115,0014,290.78924159901044
20230116,0015,455.4205695114828
20230117,0016,387.1921876149737
20230118,0017,396.5688897133871
20230119,0018,406.8819951886602
20230120,0019,369.1816132858356
20230121,0020,240.49763964462156
20230122,0021,301.92631362625156
20230123,0022,398.55103615445074
20230124,0023,358.533675325719
20230125,0024,366.5383243167499
20230126,0025,364.89000138226777
20230127,0026,368.271371713425
20230128,0027,285.1954772748662
20230129,0028,275.4329451052556
20230130,0029,371.10356500381016
20230131,0030,395.07104830239507
20230201,0031,429.13950726287646
20230202,0032,371.9281472564684
20230203,0033,389.7447291426421
20230204,0034,296.95388861147046
20230205,0035,323.1636899155308
20230206,0036,372.9884068278875
20230207,0037,360.3315190033358
20230208,0038,331.99509584820106
20230209,0039,350.6313137157201
20230210,0040,351.2364254653356
20230211,0041,297.4576609116419
20230212,0042,260.8181807094771
20230213,0043,362.131858795445
20230214,0044,318.6553214648822
20230215,0045,299.7305320778685
20230216,0046,264.1259820380396
20230217,0047,313.92582859520127
20230218,0048,271.2772326346455
20230219,0049,248.598391573175
20230220,0050,258.62927561748086

