# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20230101
# Data de término: 20231231
Nº dia,Novos usuários
0000,13655
0001,29215
0002,20454
0003,28536
0004,15935
0005,13735
0006,12519
0007,14029
0008,19585
0009,20872
0010,16179
0011,15511
0012,15996
0013,19617
0014,16409
0015,14496
0016,21958
0017,19019
0018,19478
0019,25749
0020,29171
0021,17306
0022,22551
0023,28607
0024,21732
0025,28267
0026,25517
0027,20166
0028,21451
0029,28692
0030,19039
0031,16328
0032,24005
0033,23194
0034,22592
0035,12918
0036,26629
0037,26315
0038,24726
0039,29106
0040,27549
0041,18337
0042,25563
0043,27404
0044,36969
0045,40899
0046,46698
0047,27378
0048,16770
0049,21576
0050,20793
0051,11986
0052,21614
0053,30689
0054,25859
0055,23805
0056,95221
0057,49290
0058,31058
0059,25392
0060,21454
0061,20168
0062,21546
0063,25125
0064,29044
0065,37130
0066,31219
0067,21003
0068,22092
0069,12231
0070,12949
0071,16796
0072,62495
0073,45247
0074,46005
0075,40495
0076,23882
0077,27047
0078,34218
0079,32580
0080,23973
0081,31106
0082,22772
0083,19773
0084,22426
0085,31842
0086,19069
0087,18282
0088,18680
0089,21804
0090,16920
0091,24031
0092,30171
0093,38109
0094,44988
0095,37735
0096,19112
0097,9626
0098,18332
0099,21515
0100,25167
0101,30382
0102,26524
0103,22864
0104,18276
0105,16491
0106,12714
0107,15098
0108,18965
0109,14579
0110,17395
0111,13906
0112,17285
0113,30940
0114,22731
0115,22383
0116,14750
0117,18950
0118,9138
0119,19965
0120,19175
0121,21211
0122,21872
0123,20179
0124,20882
0125,17937
0126,13994
0127,22319
0128,22756
0129,21676
0130,21026
0131,31413
0132,22160
0133,15154
0134,21883
0135,22855
0136,24187
0137,23955
0138,24641
0139,16941
0140,11274
0141,12420
0142,16733
0143,29486
0144,28079
0145,19584
0146,17722
0147,19842
0148,19680
0149,19591
0150,18972
0151,22286
0152,20189
0153,8543
0154,8117
0155,18079
0156,21824
0157,21432
0158,12947
