# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20230801
# Data de término: 20230831
Nº dia,Novos usuários
0000,19597
0001,19144
0002,19979
0003,19819
0004,19337
0005,20742
0006,26242
0007,34170
0008,24711
0009,14255
0010,12988
0011,10772
0012,8665
0013,17978
0014,17194
0015,13351
0016,13676
0017,12250
0018,16374
0019,22181
0020,22753
0021,24861
0022,23743
0023,20282
0024,30360
0025,15890
0026,18775
0027,21503
0028,19454
0029,23341
0030,21691

# Data de início: 20230801
# Data de término: 20230831
Nº dia,Usuários recorrentes
0000,19492
0001,18796
0002,17277
0003,18478
0004,15077
0005,15536
0006,19574
0007,23802
0008,22948
0009,20127
0010,19451
0011,15040
0012,13164
0013,22037
0014,21646
0015,21259
0016,21285
0017,20083
0018,15259
0019,14172
0020,19402
0021,23340
0022,24577
0023,22435
0024,20813
0025,16396
0026,16056
0027,21205
0028,22280
0029,22819
0030,22994

#  
# Data de início: 20230801
# Data de término: 20230831
Coorte,Dia 1,Dia 7,Dia 30
0,0.024733992906477507,0.013160350942691804,0.004713459025574016
1,0.02166465621230398,0.010422195416164053,0.003715319662243667
2,0.01960691675328357,0.007228574128319002,0.0019370688840593404
3,0.017210401891252954,0.007801418439716312,0.0025059101654846335
4,0.01796790390863444,0.005759574677562273,0.002067539627842867
5,0.018098521273700444,0.007620430009979135,0.0022226254195772477
6,0.025734902072299434,0.010663633455372693,0.003056908257206839
7,0.020890373453071952,0.007009089913481546,0.002655787975030117
8,0.025136045607670382,0.008773553474253137,0.002961537037722578
9,0.02961146737080347,0.012888218282409153,0.003206337231233497
10,0.027139874739039668,0.013266886659034279,0.003569263923496532
11,0.02658320461751077,0.0130883667994472,0.004958946427119746
12,0.036535859269282815,0.013739981263661914,0.005516810658894556
13,0.030914764969767895,0.01331187829139848,0.004632338599570899
14,0.027216494845360824,0.015257731958762887,0.0047422680412371136
15,0.03707130112998084,0.016784510672041234,0.005418621555540871
16,0.0372937293729373,0.013597359735973598,0.004224422442244224
17,0.03270993766043271,0.014374770810414375,0.003447011367803447
18,0.022357492319945386,0.007850722494026624,0.0033564683126635565
19,0.0181137298001384,0.007733952049497293,0.0015874954206862866
20,0.024585546434894575,0.008450024142926123,0.0034604860775792694
21,0.027141552511415524,0.010228310502283105,0.004748858447488584
22,0.025883081208650908,0.011181181568460557,0.005416489341122761
23,0.02340397292394815,0.011768349334159182,0.005795690837499447
24,0.016166978343487966,0.006002292332750196,0.0024733063883694275
25,0.022811788866070933,0.009213520563911861,0.0027751567963589944
26,0.020382289838111956,0.007314218841427736,0.004632338599570899
27,0.025576665079845934,0.008352447310338858,0.004457523694118665
28,0.02670514406119738,0.008840639457651962,0.004030965141312812
29,0.029216162913360547,0.008301609870201348,0.00495344677337981
30,0.03184146069917613,0.011801380538855488,0.003451347138721888

#  
# Data de início: 20230801
# Data de término: 20230831
Coorte,Dia 1,Dia 7,Dia 30
0,133.16747572815535,187.83783783783784,153.21666666666667
1,118.42618384401115,180.09202453987731,102.20408163265306
2,103.61349693251533,129.2016806722689,0
3,130.1280276816609,152.30327868852459,105.82051282051282
4,127.55871886120997,110.12048192771084,0
5,124.44871794871794,141.75572519083968,121.05128205128206
6,151.88538205980066,149.27038626609442,220.2982456140351
7,105.36363636363636,148.64141414141415,185.96491228070175
8,101.49460431654676,153.92349726775956,241.89473684210526
9,201.89389920424404,174.3288590604027,0
10,87.05572755417957,189.7112676056338,0
11,137.13385826771653,140.6046511627907,107.61538461538461
12,121.76618705035972,173.87962962962962,255.56410256410257
13,126.77366255144032,147.83333333333334,232.71929824561403
14,102.58962264150944,123.54285714285714,163.08064516129033
15,128.36876355748373,198.03626943005182,200.7826086956522
16,115,122.55900621118012,129.6875
17,88.72598870056497,167.45098039215685,0
18,136.73139158576052,124.37037037037037,107.95348837209302
19,103.6138888888889,175.36241610738256,0
20,149.33760683760684,171.62893081761007,165.1090909090909
21,91.55091819699499,187.83823529411765,264.87654320987656
22,145.1447619047619,318.1756097560976,191.08333333333334
23,138.4452380952381,113.1711229946524,90.09302325581395
24,100.10068649885584,130.74324324324326,167.19230769230768
25,119.91014492753624,142.515625,0
26,100.93548387096774,181,87.72222222222223
27,156.2943722943723,170.75838926174498,189.1451612903226
28,97.39157894736842,148.08536585365854,170.15254237288136
29,1704.1723484848485,269.3767123287671,145.49253731343285
30,187.47441860465116,139.66883116883116,94.36585365853658

#  
# Data de início: 20230721
# Data de término: 20230831
Coorte,Usuários
0000,1
0001,0.02364358610362857
0002,0.014509307357598951
0003,0.012325243917152172
0004,0.011510025606649836
0005,0.010923699850825197
0006,0.010498613677852334
0007,0.00937895699413336
0008,0.006626608590348852
0009,0.005859874909655094
0010,0.005302865441621687
0011,0.005128095264404727
0012,0.005131477912996023
0013,0.0052363400193261985
0014,0.005477635618838647
0015,0.00493190164610956
0016,0.00443014210506732
0017,0.0041392343262158645
0018,0.004089622146876857
0019,0.0041031527412420405
0020,0.004250861729728632
0021,0.004580106192614776
0022,0.004355723836058809
0023,0.004007311031155321
0024,0.003861857141729593
0025,0.0038223929081644733
0026,0.0038201378091036096
0027,0.0039746120947727935
0028,0.0040975149935898805
0029,0.0037750358278863293
0030,0.003503296391052218
0031,0.0032732762868440905
0032,0.0032958272774527304
0033,0.0032676385391919305
0034,0.0033950516361307462
0035,0.00349314844527833
0036,0.0032236641075050823
0037,0.0031717968291052104
0038,0.002989133805175227
0039,0.0028560829605842513
0040,0.002823384024201723
0041,0.002859465609175547

#  
# Data de início: 20230721
# Data de término: 20230831
Coorte,Tempo médio de engajamento
0000,65.97209842595139
0001,169.99580196320898
0002,150.1761838963504
0003,149.08240605922822
0004,147.68367404185742
0005,149.48398236382494
0006,159.9732724706872
0007,160.9521294663278
0008,150.50365185231527
0009,144.68283315912905
0010,155.75328587758057
0011,145.50830555508486
0012,151.3440112233447
0013,153.05086365704705
0014,166.11057658964896
0015,161.34966374000163
0016,139.24516418940897
0017,145.32857113662516
0018,142.08462797195278
0019,156.04721268967165
0020,151.32947511370762
0021,146.56793271188548
0022,147.40642138228029
0023,124.63166226477506
0024,133.96926001979415
0025,138.27345357327854
0026,124.28392249959725
0027,145.48449254956753
0028,150.58591435674865
0029,108.3313698879436
0030,119.42938934754378
0031,111.34723818063871
0032,96.04282629179316
0033,108.85032005207998
0034,103.16889404189945
0035,133.13446400013646
0036,123.53275469047342
0037,102.12751385687348
0038,134.4828113981183
0039,123.23348971577057
0040,151.2580717420416
0041,99.89015665514779

#  
# Data de início: 20230504
# Data de término: 20230831
Coorte,LTV
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
