# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20230501
# Data de término: 20230531
Nº dia,Novos usuários
0000,19175
0001,21211
0002,21872
0003,20179
0004,20882
0005,17937
0006,13994
0007,22319
0008,22756
0009,21676
0010,21026
0011,31413
0012,22160
0013,15154
0014,21883
0015,22855
0016,24187
0017,23955
0018,24641
0019,16941
0020,11274
0021,12420
0022,16733
0023,29486
0024,28079
0025,19584
0026,17722
0027,19842
0028,19680
0029,19591
0030,18972

# Data de início: 20230501
# Data de término: 20230531
Nº dia,Usuários recorrentes
0000,15515
0001,21932
0002,21519
0003,20146
0004,19611
0005,14775
0006,14733
0007,20286
0008,20562
0009,20726
0010,19580
0011,24222
0012,16198
0013,13782
0014,21355
0015,23648
0016,24765
0017,27622
0018,25930
0019,16114
0020,17678
0021,18831
0022,21491
0023,25660
0024,23779
0025,19290
0026,14448
0027,14183
0028,18548
0029,20713
0030,19748

#  
# Data de início: 20230501
# Data de término: 20230531
Coorte,Dia 1,Dia 7,Dia 30
0,0.018307647001079806,0.007411406694807107,0.0022577795229213704
1,0.0225264631265856,0.009491733006736069,0.0035867378182136297
2,0.022090813093980994,0.009081309398099261,0.0038859556494192185
3,0.025611012267066205,0.0113306489371664,0.0026219683490963574
4,0.01617490223960185,0.009731603270529684,0.0020885175968716673
5,0.018570536828963796,0.00749063670411985,0.0032771535580524347
6,0.025277671390271927,0.00912804800204264,0.0030001276650070217
7,0.024760520013684572,0.00949367088607595,0.003891549777625727
8,0.023343373493975902,0.008408634538152611,0.0023008701472556894
9,0.023696066539594524,0.008750649800727777,0.0032490036388840757
10,0.02507185496351979,0.009108998452354631,0.002210921954455008
11,0.014435772548559357,0.009066369344522035,0.002053870078047063
12,0.017409007811201596,0.006647831145088915,0.0021605451221538975
13,0.02258024384175168,0.009330679273451107,0.003670067180890769
14,0.023996229163988515,0.00754167202296782,0.0038565368299267257
15,0.0243665898896836,0.008445468137552026,0.004121711722633046
16,0.030899738983571318,0.010517426685091355,0.00391524643021649
17,0.0291180086047941,0.012177320221266134,0.0020743700061462817
18,0.018186456738829362,0.007325606822654713,0.0018222902543917196
19,0.020828692359100023,0.007629761639563377,0.0027288928491869015
20,0.03128185025480204,0.014347314778518229,0.004390435123480988
21,0.037295528898582335,0.01519447473645947,0.004362050163576881
22,0.03503928647271183,0.00950307921002336,0.004034826927160756
23,0.027561546737548258,0.007151446111005632,0.0023416239478514017
24,0.017971846385130517,0.007038403717370507,0.0017083504168375018
25,0.017838354854136776,0.007890961262553802,0.002152080344332855
26,0.018603411513859275,0.007249466950959489,0.002398720682302772
27,0.016957271507951715,0.005796129526729259,0.001820272082774478
28,0.022862021533937297,0.008632547550158895,0.0035573684959446
29,0.0246625005962887,0.010256165625149073,0.0035777321948194437
30,0.026366902981450908,0.009177430319510536,0.002719238613188307

#  
# Data de início: 20230501
# Data de término: 20230531
Coorte,Dia 1,Dia 7,Dia 30
0,117.31372549019608,117.02439024390245,0
1,127.22332506203475,177.43827160493828,224.85106382978722
2,161.19370460048427,234.48538011695908,195.53968253968253
3,164.55605381165918,177.7810945273632,0
4,171.0307167235495,210.864406779661,0
5,163.68524590163935,105.28333333333333,168.3695652173913
6,101.85975609756098,120.3931623931624,161.88095238095238
7,288.7127882599581,166.5027624309392,227.59677419354838
8,156.05960264900662,201.84516129032258,0
9,138.7578475336323,156.87820512820514,368.7857142857143
10,123.2255125284738,171.7710843373494,0
11,101.66410256410256,144.4306220095694,0
12,180.46827794561935,168.70542635658916,0
13,114.49829351535836,188.96747967479675,166.75675675675674
14,138.90723981900453,192.89285714285714,130.67307692307693
15,166.57259713701433,126.73214285714286,188.1290322580645
16,174.50827814569536,151.80975609756098,120.61764705882354
17,137.00866551126518,168.69421487603304,0
18,335.44,135.3661971830986,175.24324324324326
19,135.60884353741497,134.6509433962264,0
