# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20240201
# Data de término: 20240214
Nº dia,Novos usuários
0000,22126
0001,26489
0002,23451
0003,19892
0004,27690
0005,25805
0006,25251
0007,21219
0008,18501
0009,13451
0010,15089
0011,19407
0012,18928
0013,30878

# Data de início: 20240201
# Data de término: 20240214
Nº dia,Usuários recorrentes
0000,22904
0001,27177
0002,21931
0003,17337
0004,24588
0005,23312
0006,25120
0007,25432
0008,24312
0009,17714
0010,15994
0011,19073
0012,17617
0013,21393

#  
# Data de início: 20240201
# Data de término: 20240214
Coorte,Dia 1,Dia 7
0,0.028770636319923066,0.0134236255810226
1,0.020151215238342474,0.011032871467047409
2,0.021636636087862284,0.008552318994188809
3,0.023151638798953298,0.007495453940657293
4,0.025336041001837346,0.00780066402346646
5,0.026508545517963028,0.008126961981164981
6,0.026053370786516854,0.011762640449438201
7,0.03216706664982527,0.014820428613532062
8,0.0266030989272944,0.0009535160905840286
9,0.03573524616889469,0
10,0.03923559271424306,0
11,0.031223509465950833,0
12,0.027102623456790122,0
13,0.01875,0

#  
# Data de início: 20240201
# Data de término: 20240214
Coorte,Dia 1,Dia 7
0,196.3218806509946,242.8171206225681
1,127.916142557652,163.02892561983472
2,147.5414847161572,184.28813559322035
3,157.78669724770643,163.64492753623188
4,168.0521327014218,206.75263157894736
5,178.45365853658538,222.1904761904762
6,155.7353433835846,214.52416356877325
7,141.24098360655736,197.59683794466403
8,100.66363636363636,0
9,126.10623556581986,0
10,128.4056074766355,0
11,130.92936802973978,0
12,149.88817204301074,0
13,149.2906976744186,0

#  
# Data de início: 20240104
# Data de término: 20240214
Coorte,Usuários
0000,1
0001,0.028674086133484492
0002,0.018969403762243108
0003,0.016417488035358398
0004,0.015190511019416805
0005,0.01527446594281718
0006,0.015520376234251121
0007,0.012974484989521686
0008,0.009764827636415913
0009,0.008704803611942324
0010,0.008134473437584715
0011,0.007934532143419059
0012,0.007896670245942488
0013,0.008041883010325589
0014,0.00821521368761826
0015,0.007457953768754132
0016,0.007212563716550972
0017,0.006908393946539454
0018,0.007159548550688609
0019,0.006929987767511617
0020,0.006884071261753665
0021,0.0070833648928798855
0022,0.00658564756393393
0023,0.006171837966983848
0024,0.006515341170311655
0025,0.006293346126981663
0026,0.0060961147071875625
0027,0.006180674017907427
0028,0.006344868291055596
0029,0.006244108528012175
0030,0.005852933092508245
0031,0.005645208334438157
0032,0.005918428241592385
0033,0.005567243788501513
0034,0.0059586412366939194
0035,0.005490703241103132
0036,0.005392440376960501
0037,0.004947481702595967
0038,0.005171192174072042
0039,0.00492723141073254
0040,0.005290161363213441
0041,0.0048889223910491796

#  
# Data de início: 20240104
# Data de término: 20240214
Coorte,Tempo médio de engajamento
0000,129.92295351585477
0001,189.0154998750955
0002,193.23486037858837
0003,194.96428946478093
0004,194.53641869237853
0005,188.0261541162878
0006,185.2581972946826
0007,189.48870026195175
0008,193.02693585831003
0009,201.8753752149314
0010,188.6577797528708
0011,186.31823290635754
0012,179.05984847850277
0013,178.3021693689266
0014,176.4046242015359
0015,186.1884637075125
0016,171.04788552020472
0017,158.7303657492806
0018,147.17391355047891
0019,153.1266436469744
0020,160.05155208750247
0021,203.22306616552333
0022,181.6177538707367
0023,124.37664346559738
0024,117.50835217373569
0025,126.66958268188328
0026,116.32763452320052
0027,115.94493027924405
0028,125.11315244190082
0029,106.51407321200422
0030,115.17431938816733
0031,147.21085683067736
0032,119.34776571747032
0033,124.94794382766457
0034,128.52577151513816
0035,132.46970741792163
0036,107.94180509446741
0037,109.88036022352458
0038,120.38969143397446
0039,79.68175218358401
0040,76.44699645198737
0041,87.1765987549519

#  
# Data de início: 20231018
# Data de término: 20240214
Coorte,LTV
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
