# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20220401
# Data de término: 20220430
Nº dia,Usuários
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,24558
0018,57497
0019,47774
0020,36929
0021,38188
0022,32917
0023,33817
0024,43617
0025,48280
0026,41581
0027,51591
0028,48709
0029,36580

# Data de início: 20220401
# Data de término: 20220430
Nº dia,Novos usuários
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,24395
0018,50081
0019,31782
0020,22008
0021,20735
0022,16832
0023,16938
0024,22586
0025,24006
0026,21244
0027,28220
0028,24169
0029,18035

# Data de início: 20220401
# Data de término: 20220430
Nº dia,Tempo médio de engajamento
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,97.33276325433667
0018,129.20808042158723
0019,128.9929250219785
0020,125.54036123371876
0021,127.89672148318843
0022,143.2478658443965
0023,167.72398497796965
0024,151.8813536006603
0025,145.80362468931236
0026,154.30504316875496
0027,139.80459770114942
0028,166.54872816112012
0029,118.60062875888464

# Data de início: 20220401
# Data de término: 20220430
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
