# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20220801
# Data de término: 20220831
Nº dia,Usuários
0000,56842
0001,52305
0002,48867
0003,43577
0004,46293
0005,45584
0006,51575
0007,42984
0008,41005
0009,50773
0010,44825
0011,40457
0012,35584
0013,32280
0014,42060
0015,47954
0016,43867
0017,40479
0018,44409
0019,39014
0020,33510
0021,38922
0022,49698
0023,54779
0024,65372
0025,49650
0026,41528
0027,52760
0028,49082
0029,49958
0030,45176

# Data de início: 20220801
# Data de término: 20220831
Nº dia,Novos usuários
0000,26346
0001,19308
0002,20587
0003,18570
0004,18687
0005,24029
0006,30082
0007,18530
0008,17812
0009,26502
0010,18807
0011,16279
0012,15290
0013,14542
0014,17742
0015,19885
0016,17246
0017,16291
0018,18770
0019,18153
0020,16873
0021,17215
0022,21561
0023,26460
0024,31953
0025,23795
0026,20364
0027,29826
0028,22974
0029,24360
0030,19851

# Data de início: 20220801
# Data de término: 20220831
Nº dia,Tempo médio de engajamento
0000,116.77337180254038
0001,146.00651945320715
0002,194.10010845765035
0003,161.49597264612066
0004,157.44799429719396
0005,125.01877851877852
0006,121.88599127484247
0007,158.53671133445002
0008,153.53061821729057
0009,151.77308805861384
0010,155.6231121026213
0011,170.44180240749438
0012,144.3566209532374
0013,138.0633209417596
0014,153.90406562054207
0015,164.40453351128164
0016,157.97376159755626
0017,167.26267941401716
0018,156.48814429507533
0019,141.21384631158045
0020,147.6554759773202
0021,159.14333795796722
0022,159.27689243027888
0023,143.69794994432172
0024,129.56681759774827
0025,143.2818731117825
0026,134.38167019842035
0027,129.8432145564822
0028,144.30754655474513
0029,154.3054165499019
0030,146.493979103949

# Data de início: 20220801
# Data de término: 20220831
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
