# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20221201
# Data de término: 20221231
Nº dia,Usuários
0000,33084
0001,27355
0002,32754
0003,27864
0004,29533
0005,32064
0006,32397
0007,34382
0008,31538
0009,28072
0010,24660
0011,31741
0012,35525
0013,41566
0014,35450
0015,32711
0016,35823
0017,29949
0018,35080
0019,37798
0020,35026
0021,38362
0022,38887
0023,23245
0024,22230
0025,32549
0026,37665
0027,48268
0028,53284
0029,43426
0030,28196

# Data de início: 20221201
# Data de término: 20221231
Nº dia,Novos usuários
0000,13164
0001,10589
0002,15759
0003,13246
0004,12691
0005,13103
0006,12936
0007,14752
0008,15013
0009,13441
0010,11065
0011,14179
0012,16420
0013,21682
0014,15997
0015,12528
0016,14997
0017,13663
0018,15108
0019,15173
0020,13221
0021,16960
0022,17343
0023,9323
0024,9161
0025,13399
0026,16704
0027,22733
0028,29671
0029,21133
0030,12431

# Data de início: 20221201
# Data de término: 20221231
Nº dia,Tempo médio de engajamento
0000,148.12187159956474
0001,143.014695668068
0002,118.1045063198388
0003,120.89739448751077
0004,140.6257406968476
0005,157.73736901197606
0006,156.9926227737136
0007,141.95968820894655
0008,88.29367746845075
0009,73.04192789968653
0010,71.98998377939984
0011,105.80177058063703
0012,101.63864883884588
0013,86.37997401722562
0014,103.0665162200282
0015,124.03240500137568
0016,71.5167908885353
0017,75.73060870145915
0018,113.67588369441278
0019,110.11807503042489
0020,110.1720436247359
0021,96.57992284031073
0022,126.12780620773009
0023,74.04099806409981
0024,69.58146648672964
0025,108.47254907984885
0026,103.79442453205894
0027,90.3555357586807
0028,78.08627355303656
0029,82.17892506793166
0030,74.31238473542346

# Data de início: 20221201
# Data de término: 20221231
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
