# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20220701
# Data de término: 20220731
Nº dia,Usuários
0000,63286
0001,42013
0002,73973
0003,56328
0004,56618
0005,68119
0006,74909
0007,71562
0008,44792
0009,38451
0010,66278
0011,59734
0012,49086
0013,45716
0014,46638
0015,48504
0016,38952
0017,52612
0018,68292
0019,416804
0020,69348
0021,58698
0022,42846
0023,33739
0024,46192
0025,50448
0026,56626
0027,71402
0028,59705
0029,43778
0030,51707

# Data de início: 20220701
# Data de término: 20220731
Nº dia,Novos usuários
0000,27611
0001,16969
0002,33643
0003,23300
0004,23373
0005,32274
0006,37249
0007,29941
0008,17029
0009,14213
0010,31336
0011,23702
0012,19007
0013,17374
0014,17030
0015,19815
0016,16036
0017,19806
0018,27963
0019,364483
0020,33159
0021,26346
0022,16761
0023,13257
0024,18291
0025,18945
0026,21211
0027,29925
0028,22778
0029,15687
0030,20351

# Data de início: 20220701
# Data de término: 20220731
Nº dia,Tempo médio de engajamento
0000,119.68201497961634
0001,125.93844762335468
0002,125.83229015992322
0003,126.68594659849454
0004,127.39256066975167
0005,111.75397466198858
0006,118.27561441215342
0007,140.3800340963081
0008,124.0700794784783
0009,127.973160646017
0010,115.8476870152992
0011,114.78898114976396
0012,122.73613657662062
0013,148.32802519905505
0014,132.06565461640722
0015,124.87444334487877
0016,132.54097350585334
0017,127.17100661446058
0018,124.10017278744216
0019,69.59420974846691
0020,128.63322662513698
0021,130.75523867934172
0022,128.04453157821033
0023,142.29111710483417
0024,135.39368288881192
0025,147.7466500158579
0026,137.08102285169358
0027,132.6820117083555
0028,129.5911230215225
0029,123.3328612545114
0030,117.06256406289283

# Data de início: 20220701
# Data de término: 20220731
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
