# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20220601
# Data de término: 20220630
Nº dia,Usuários
0000,53937
0001,71332
0002,65484
0003,42215
0004,53725
0005,67294
0006,54703
0007,35978
0008,11249
0009,12078
0010,9828
0011,9631
0012,11379
0013,12641
0014,33239
0015,47891
0016,49209
0017,32559
0018,30121
0019,20444
0020,41776
0021,69441
0022,56737
0023,53394
0024,38290
0025,38967
0026,50440
0027,51292
0028,49997
0029,55212

# Data de início: 20220601
# Data de término: 20220630
Nº dia,Novos usuários
0000,23682
0001,36646
0002,29878
0003,18575
0004,30327
0005,31168
0006,20288
0007,12167
0008,3934
0009,4561
0010,3894
0011,3135
0012,3582
0013,4179
0014,14970
0015,23122
0016,23547
0017,15134
0018,13012
0019,7064
0020,16950
0021,36092
0022,26142
0023,23265
0024,16582
0025,15011
0026,19732
0027,19355
0028,20566
0029,21256

# Data de início: 20220601
# Data de término: 20220630
Nº dia,Tempo médio de engajamento
0000,126.79375938595028
0001,120.4653731845455
0002,114.27973245372915
0003,119.95871135852185
0004,103.05154025127966
0005,144.84378993669569
0006,130.11240699778804
0007,123.33834565567847
0008,125.06044981776158
0009,126.50811392614672
0010,132.12240537240538
0011,156.47762433807497
0012,131.96370507074437
0013,142.24262321018907
0014,110.86440626974337
0015,114.61758994383078
0016,115.77892255481721
0017,121.59547283393225
0018,135.66252780452177
0019,117.23958129524554
0020,151.50744446572193
0021,117.57647499315966
0022,119.68729400567531
0023,121.75042139566243
0024,112.34082005745626
0025,115.37824312880129
0026,122.29484536082474
0027,130.3771153396241
0028,136.2159729583775
0029,127.52204230964283

# Data de início: 20220601
# Data de término: 20220630
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
