# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20220501
# Data de término: 20220531
Nº dia,Usuários
0000,40314
0001,72253
0002,55900
0003,40497
0004,40267
0005,36257
0006,49370
0007,43735
0008,52148
0009,42655
0010,40136
0011,38475
0012,43515
0013,30380
0014,30325
0015,37562
0016,75266
0017,63623
0018,49740
0019,56134
0020,32828
0021,31209
0022,46795
0023,51686
0024,57545
0025,54280
0026,50122
0027,35894
0028,35918
0029,41696
0030,43038

# Data de início: 20220501
# Data de término: 20220531
Nº dia,Novos usuários
0000,19583
0001,45529
0002,34036
0003,20019
0004,18362
0005,16026
0006,29454
0007,22808
0008,26556
0009,18935
0010,16893
0011,15426
0012,17393
0013,12006
0014,14050
0015,15709
0016,39326
0017,32330
0018,22430
0019,32176
0020,12680
0021,12211
0022,19725
0023,21443
0024,25585
0025,23608
0026,23197
0027,16185
0028,15429
0029,17138
0030,17590

# Data de início: 20220501
# Data de término: 20220531
Nº dia,Tempo médio de engajamento
0000,120.8076846752989
0001,91.86462845833391
0002,109.7285152057245
0003,138.08877200780304
0004,152.06896466088858
0005,159.47320517417327
0006,101.21624468300587
0007,116.72546015776838
0008,146.32664723479328
0009,152.5870824053452
0010,157.94239585409608
0011,154.03625730994153
0012,145.43470067792714
0013,129.76984858459514
0014,132.83963726298433
0015,142.41118683776156
0016,122.13571865118381
0017,125.36224321393208
0018,128.90679533574587
0019,118.9742758399544
0020,135.33075423419032
0021,132.43471434522093
0022,133.2591516187627
0023,140.18053244592346
0024,122.18251802936832
0025,125.22126013264554
0026,133.91772076134234
0027,138.12977099236642
0028,140.87769363550308
0029,149.16697045280122
0030,151.3325665690785

# Data de início: 20220501
# Data de término: 20220531
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
