# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20221101
# Data de término: 20221130
Nº dia,Usuários
0000,50762
0001,36715
0002,38275
0003,38558
0004,30344
0005,29497
0006,54707
0007,43029
0008,44760
0009,41187
0010,42206
0011,34127
0012,31319
0013,33209
0014,27613
0015,48967
0016,36893
0017,34788
0018,36392
0019,37070
0020,44324
0021,40114
0022,40701
0023,35680
0024,41547
0025,31883
0026,26916
0027,32286
0028,34976
0029,34100

# Data de início: 20221101
# Data de término: 20221130
Nº dia,Novos usuários
0000,21422
0001,14248
0002,15514
0003,15061
0004,11607
0005,12121
0006,28557
0007,18390
0008,18461
0009,16404
0010,17566
0011,12200
0012,12972
0013,13573
0014,10993
0015,27858
0016,14563
0017,13626
0018,16676
0019,16861
0020,24537
0021,18497
0022,17972
0023,14214
0024,17834
0025,14407
0026,11665
0027,14431
0028,13824
0029,13287

# Data de início: 20221101
# Data de término: 20221130
Nº dia,Tempo médio de engajamento
0000,138.06768842835191
0001,122.00637341685959
0002,126.37494448073154
0003,142.72176980133824
0004,137.0511138940153
0005,134.6064684544191
0006,117.50602299522913
0007,140.47540031141787
0008,140.62435210008937
0009,225.21327117779882
0010,218.85198786902336
0011,130.66278899405162
0012,130.48778696637822
0013,133.80378812972387
0014,137.46916307536304
0015,119.29258480200951
0016,156.29626216355408
0017,148.88248821432677
0018,132.08257309298747
0019,112.92643647154033
0020,88.63518635502211
0021,122.90457196988582
0022,137.76405985110932
0023,135.21039798206277
0024,134.87308349579993
0025,114.60828654768999
0026,125.41395452518948
0027,123.94861549897789
0028,139.3567303293687
0029,157.73340175953078

# Data de início: 20221101
# Data de término: 20221130
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
