# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20221001
# Data de término: 20221031
Nº dia,Usuários
0000,99280
0001,210780
0002,90533
0003,41617
0004,43711
0005,66828
0006,62985
0007,44478
0008,38045
0009,44723
0010,49116
0011,35418
0012,46302
0013,60263
0014,43608
0015,220099
0016,98929
0017,44032
0018,52098
0019,62684
0020,53439
0021,39556
0022,40878
0023,45124
0024,54696
0025,62819
0026,43271
0027,48505
0028,31337
0029,32912
0030,40595

# Data de início: 20221001
# Data de término: 20221031
Nº dia,Novos usuários
0000,64945
0001,139613
0002,47730
0003,18233
0004,20242
0005,29198
0006,26734
0007,18962
0008,16039
0009,17863
0010,21006
0011,15839
0012,17725
0013,28064
0014,20981
0015,184779
0016,70193
0017,18708
0018,27172
0019,32923
0020,26556
0021,19486
0022,19082
0023,21036
0024,27411
0025,33738
0026,19767
0027,24873
0028,12934
0029,13868
0030,15914

# Data de início: 20221001
# Data de término: 20221031
Nº dia,Tempo médio de engajamento
0000,88.21567284448025
0001,80.33051522914887
0002,98.3404283520926
0003,127.71470793185478
0004,140.71412230331038
0005,119.51704375411504
0006,139.93346034770184
0007,114.60926750303521
0008,124.44142462872914
0009,140.1025870357534
0010,150.90683280397425
0011,139.43254842170649
0012,127.45654615351388
0013,117.92331944974528
0014,114.56439185470556
0015,46.66753142903875
0016,70.82251918042232
0017,145.97342841569767
0018,126.90137817190679
0019,114.20040201646353
0020,123.60981680046407
0021,107.45080392355142
0022,111.16632418415774
0023,129.8532931477706
0024,111.16988445224514
0025,119.30922173227844
0026,126.55138545446141
0027,114.5200700958664
0028,131.65979513035708
0029,116.51935464268352
0030,132.69316418278112

# Data de início: 20221001
# Data de término: 20221031
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
