# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20220901
# Data de término: 20220930
Nº dia,Usuários
0000,55065
0001,54050
0002,36303
0003,44650
0004,60232
0005,51794
0006,58916
0007,54883
0008,48975
0009,40257
0010,52165
0011,66571
0012,92055
0013,84814
0014,72117
0015,48596
0016,39197
0017,48607
0018,76385
0019,64918
0020,85313
0021,70005
0022,77201
0023,128511
0024,67569
0025,65315
0026,70334
0027,69452
0028,81407
0029,106207

# Data de início: 20220901
# Data de término: 20220930
Nº dia,Novos usuários
0000,24958
0001,24014
0002,16263
0003,21993
0004,27279
0005,22221
0006,29372
0007,28816
0008,22025
0009,17839
0010,28109
0011,32954
0012,53276
0013,46107
0014,36832
0015,22059
0016,18165
0017,23162
0018,44535
0019,32712
0020,51808
0021,39852
0022,44863
0023,80257
0024,38759
0025,34297
0026,34435
0027,33961
0028,44041
0029,70850

# Data de início: 20220901
# Data de término: 20220930
Nº dia,Tempo médio de engajamento
0000,134.9747752655952
0001,134.5331359851989
0002,133.5247775665923
0003,132.80418812989922
0004,126.02342608580156
0005,135.1948681314438
0006,112.96068979564126
0007,109.66461381484248
0008,149.05921388463503
0009,121.74242988796979
0010,139.77904725390587
0011,132.34004296164997
0012,116.6095160501874
0013,117.24748272690829
0014,124.70468821498399
0015,142.79469503662853
0016,127.17243666607138
0017,126.41463163741848
0018,101.12793087648099
0019,114.68691272066299
0020,113.9597716643419
0021,107.89362188415113
0022,101.28022953070555
0023,95.14671895791022
0024,103.47101481448593
0025,119.573329250555
0026,118.55117013108881
0027,125.50423313943443
0028,115.82619430761483
0029,103.93460882992646

# Data de início: 20220901
# Data de término: 20220930
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
