# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20230101
# Data de término: 20230220
Nº dia,Tempo médio de engajamento
0000,67.31424380812693
0001,75.29451080773606
0002,102.01591366380099
0003,84.66439751379772
0004,104.1881780868474
0005,80.5592461643258
0006,76.60193361488255
0007,73.72822580645162
0008,97.7472494196023
0009,88.47817811317374
0010,100.89309770586334
0011,101.13239859534836
0012,95.86458229114557
0013,58.46919532585978
0014,65.59277330871687
0015,122.13039185262505
0016,125.59026217228464
0017,123.05939934904823
0018,122.1254098940763
0019,109.21952021031876
0020,77.17891642167157
0021,84.80565180346493
0022,107.6408103214124
0023,108.57752608380294
0024,107.0580187866253
0025,108.94181741042156
0026,112.25477908596025
0027,95.43345530009285
0028,82.42618875991151
0029,106.7708840916388
0030,109.3295440919011
0031,116.09741545447345
0032,104.10160134764872
0033,111.62382840250247
0034,78.5092406640059
0035,78.6302267708808
0036,100.62682252126709
0037,105.35551014952165
0038,110.07439026719379
0039,94.38646608275003
0040,85.84099045346062
0041,73.1147774610831
0042,69.78251618249827
0043,88.19727267518478
0044,78.10920556433568
0045,64.03310742742009
0046,57.81847723252849
0047,64.57000294088814
0048,104.9577552843108
0049,59.93375659154708
0050,56.57470227354746

# Data de início: 20230101
# Data de término: 20230220
Nº dia,Sessões engajadas por usuário
0000,1.0485682856095204
0001,1.053096558589306
0002,1.1128132430949333
0003,1.0426380207879937
0004,1.110036338919244
0005,1.0164131175192188
0006,1.10027573208614
0007,1.1107190860215055
0008,1.0732310487534067
0009,1.0499361802181069
0010,1.0877886312231253
0011,1.1179958267596315
0012,1.0716858429214606
0013,0.8908179745392362
0014,0.8832124488988526
0015,1.0946483482382148
0016,0.9931222335716717
0017,1.0137094388006707
0018,1.0330274363632075
0019,0.9586140322050608
0020,0.9438811223775524
0021,0.9573700653223516
0022,1.0092802172928927
0023,0.978277446112072
0024,0.9986211651154774
0025,0.9511513094457515
0026,0.9764105160990842
0027,0.9284036917699743
0028,0.9545375456737342
0029,0.969176723893705
0030,1.0358538983619925
0031,1.0475989334459728
0032,0.977207688092387
0033,0.9839585672708939
0034,0.9641558837735466
0035,1.0249903613613263
0036,1.036772811414547
0037,0.9617698168694024
0038,1.0006111652246987
0039,0.9780848022868033
0040,0.9166915274463007
0041,0.9532449024336769
0042,0.9250117589087733
0043,0.9648198017532802
0044,0.9457649396779696
0045,0.8995787159996337
0046,0.9113021540317826
0047,0.9603176159200079
0048,1.0093480202441203
0049,0.9677309337041216
0050,0.9744290354178481

# Data de início: 20230101
# Data de término: 20230220
Nº dia,Tempo de engajamento médio por sessão
0000,47.42285472734959
0001,52.80716102328829
0002,69.75545237090192
0003,60.380558004395496
0004,68.78325854332067
0005,57.134072557454736
0006,51.10660394932936
0007,49.462398557258794
0008,67.95782382147056
0009,62.87266883075552
0010,68.59359897259117
0011,67.14593927925797
0012,64.72785921772613
0013,44.12200017922753
0014,48.82691326029764
0015,82.57650783962156
0016,88.75896753080082
0017,86.96131797668625
0018,83.05562418777777
0019,80.66134757151958
0020,57.59821788384901
0021,64.02107587744688
0022,77.06446385454309
0023,80.33720930232558
