Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,,,,97513,"7076,7296",0:04:21
0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,BR,BR-RN,23670,"2927,6642",0:07:25
0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,BR,BR-CE,4364,"184,686",0:02:32
0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,BR,BR-RN,3895,"311,8278",0:04:48
0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,BR,BR-RJ,1918,"74,4104",0:02:19
0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,BR,BR-SP,1464,"53,0456",0:02:10
0x7ba06e074d5ce0b:0x46694ffe5df19ebe,Mossoró,BR,BR-RN,931,"38,5163",0:02:28
0x70146fcd6688849:0xee2c725b43e07653,Maceió,BR,BR-AL,764,"31,4612",0:02:28
0x7b3dc119a53884d:0x3f0cc62d53cda2c9,João Câmara,BR,BR-RN,739,"47,3063",0:03:50
0x7ab196f94e5408b:0xe5800ef782bde3a6,Recife,BR,BR-PE,737,"33,2747",0:02:42
0x7a31e5ccc8ce973:0xe90f4b65137c123a,Iguatu,BR,BR-CE,736,"24,9487",0:02:02
0x716112050422ebd:0xf71c84369573db9d,Salvador,BR,BR-BA,601,"34,5729",0:03:27
0x7ace839019aa3d7:0x6e414a9c6d26db34,João Pessoa,BR,BR-PB,584,"47,1535",0:04:50
0x926c1bc8b37647b7:0x2b485c9ff765a9cc,Manaus,BR,BR-AM,549,"13,2529",0:01:26
0x7b25230dac88e1b:0x7195c0a9f2b9d399,Macaíba,BR,BR-RN,483,"20,1173",0:02:29
0x7b29ad52d1affcf:0x83616ed82aed7626,Pipa,BR,BR-RN,427,"18,8608",0:02:39
0x7f68ff06f7f6d21:0x983102e459a3de47,São Luís,BR,BR-MA,424,"15,1281",0:02:08
0x7ac1e5f43201c85:0xc9656aec3aa6af51,Campina Grande,BR,BR-PB,416,"20,9762",0:03:01
0x7b1d60c556d3a7d:0x4a693f33df757168,Currais Novos,BR,BR-RN,410,"21,3339",0:03:07
0x935a3d18df9ae275:0x738470e469754a24,Brasília,BR,BR-DF,406,"15,1108",0:02:13
0x7b3acc9c09de343:0xb7cb25040c2d108e,São Gonçalo do Amarante,BR,BR-RN,403,"20,8507",0:03:06
0x7b3ba9a78752cb7:0x3d7bde314ec9ded5,Ceará-Mirim,BR,BR-RN,385,"21,3244",0:03:19
0x92a461af84756ce1:0x570d540215864c35,Belém,BR,BR-PA,343,"11,2904",0:01:58
0x78e32519a8599c7:0xd4483d47c29fd9c6,Teresina,BR,BR-PI,330,"13,0513",0:02:22
0x7b1fbebe99aa675:0xdc92d59b9446df0a,Santa Cruz,BR,BR-RN,300,"21,1627",0:04:13
0x935ef6bd58d80867:0xef692bad20d2678e,Goiânia,BR,BR-GO,296,"10,6344",0:02:09
0x7b0f2592da58feb:0x78da3ff6e4016c42,Açu,BR,BR-RN,271,"13,004",0:02:52
0x7b25fc7358f3f71:0x156ca96a2341ac50,São José de Mipibu,BR,BR-RN,257,"14,6209",0:03:24
0xa690cacacf2c33:0x5b35795e3ad23997,Belo Horizonte,BR,BR-MG,250,"11,4322",0:02:44
0x7a1789b9e348137:0x6fac36329d98a8ea,Juazeiro do Norte,BR,BR-CE,219,"7,672",0:02:06
0x705d59f85ab6275:0x60b6f0374f7f3fba,Arapiraca,BR,BR-AL,205,"6,5397",0:01:54
0xb817b2995d6bf1:0xf69aa51e4ff904b1,Vila Velha,BR,BR-ES,202,"4,5929",0:01:21
0x7c0b56dfdbff18d:0xa8ded9006dd0d827,Caucaia,BR,BR-CE,199,"6,1814",0:01:51
0x7b22f8ce4cc29c7:0xa2be3cf41fbc7387,São Paulo do Potengi,BR,BR-RN,191,"5,4438",0:01:42
0x7b27683c240dddb:0x331d2ec031e01ab8,Santo Antônio,BR,BR-RN,186,"5,3856",0:01:44
0x71ab04015be27cd:0x804434fd92ec3b36,Aracaju,BR,BR-SE,179,"4,7911",0:01:36
0x7c752fbf294fc0b:0x141b9e35d1f1f7bc,Maracanaú,BR,BR-CE,153,"6,064",0:02:22
0xb83d5d85374ee9:0x97595e7ea70ed809,Vitória,BR,BR-ES,147,"6,0278",0:02:27
0x7a45c0804e3e49d:0xf69be987abbd7f9b,Sousa,BR,BR-PB,145,"6,3138",0:02:36
0x9972edfbe838f5:0x672bb060c280a52a,Duque de Caxias,BR,BR-RJ,133,"4,3013",0:01:56
0x94dce35351cdb3dd:0x6d2f6ba5bacbe809,Curitiba,BR,BR-PR,129,"4,8989",0:02:16
0x9990f48a8830e1:0x96e11303c14c3674,São Gonçalo,BR,BR-RJ,129,"4,9921",0:02:19
0x7463b073025e405:0x78be45452bd92ae3,Vitória da Conquista,BR,BR-BA,128,"5,5393",0:02:35
0x939da56670d84fc5:0x4e504e08900e510e,Cuiabá,BR,BR-MT,128,"3,0695",0:01:26
0x9486e6726b2b9f27:0xf5a8469ebc84d2c1,Campo Grande,BR,BR-MS,122,"5,4734",0:02:41
0x71439dbd0766da9:0xed4d58d8df9d5ffe,Feira de Santana,BR,BR-BA,113,"3,5319",0:01:52
0x94a4450c10bbbaef:0xae370c93616d5c9c,Uberlândia,BR,BR-MG,111,"5,7464",0:03:06
0xb81fa3965b36af:0x521cd91111dd2e08,Serra,BR,BR-ES,107,"2,1059",0:01:10
0x7afed967d8e39a1:0xa3ea45eaea46de3b,Caicó,BR,BR-RN,105,"2,0787",0:01:11
0x94c8c61de74b6325:0x17e53a6a2178c22a,Campinas,BR,BR-SP,104,"3,6672",0:02:06
0x92325b665998520b:0x75d0f25ad2c5198b,Porto Velho,BR,BR-RO,102,"5,4467",0:03:12
0x8d61e5e06b4b1a37:0x56357df330df0f97,Macapá,BR,BR-AP,100,"2,3193",0:01:23
0x995d694889f955:0x23ff502568217834,Nova Iguaçu,BR,BR-RJ,100,"2,1893",0:01:18
0x92c55fa57838978f:0x9b2552d5a3c79685,Imperatriz,BR,BR-MA,97,"1,8571",0:01:08
