"Data","Tweets published","impressões","engajamentos","taxa de engajamento","retweets","respostas","favoritos","cliques no perfil do usuário:","cliques no URL","cliques em hashtags:","expansões de detalhes:","cliques no link permanente","aberturas de aplicativos","instalações de aplicativo:","seguiram","Tweet enviado por e-mail","número de telefone discado","visualizações da mídia","engajamentos com mídia","impressões promovido(a)(s)","engajamentos promovido(a)(s)","taxa de engajamento promovido(a)(s)","retweets promovido(a)(s)","respostas promovido(a)(s)","favoritos promovido(a)(s)","cliques no perfil do usuário: promovido(a)(s)","cliques no URL promovido(a)(s)","cliques em hashtags: promovido(a)(s)","expansões de detalhes: promovido(a)(s)","cliques no link permanente promovido(a)(s)","aberturas de aplicativos promovido(a)(s)","instalações de aplicativo: promovido(a)(s)","seguiram promovido(a)(s)","Tweet enviado por e-mail promovido(a)(s)","número de telefone discado promovido(a)(s)","visualizações da mídia promovido(a)(s)","engajamentos com mídia promovido(a)(s)"
"2024-01-01","0","79","2","0.02531645569620253","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-02","0","1552","33","0.021262886597938145","3","0","0","1","19","1","4","0","0","0","2","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-03","0","1939","31","0.01598762248581743","0","0","3","0","20","0","1","0","0","0","0","0","0","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-04","0","1579","20","0.01266624445851805","2","0","3","1","14","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-05","0","1673","32","0.019127316198445904","0","2","4","0","17","0","4","0","0","0","1","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-06","0","358","4","0.0111731843575419","0","0","1","0","0","0","2","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-07","0","102","3","0.029411764705882353","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-08","0","1185","11","0.009282700421940928","0","0","2","1","7","0","0","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-09","0","1675","26","0.015522388059701492","0","0","6","1","15","0","3","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-10","0","1657","18","0.010863005431502716","1","0","2","0","11","0","3","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
