Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,,,,132064,2330.4173,0:01:03
0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,BR,BR-RN,8056,178.3596,0:01:19
0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,BR,BR-SP,4922,59.9656,0:00:43
0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,BR,BR-RJ,2206,23.31,0:00:38
0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,BR,BR-CE,1788,29.5985,0:00:59
0xa690cacacf2c33:0x5b35795e3ad23997,Belo Horizonte,BR,BR-MG,1317,15.7513,0:00:43
0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,BR,BR-RN,1287,14.0904,0:00:39
0x935a3d18df9ae275:0x738470e469754a24,Brasília,BR,BR-DF,954,9.8615,0:00:37
0x7ba06e074d5ce0b:0x46694ffe5df19ebe,Mossoró,BR,BR-RN,836,6.6753,0:00:28
0x7ab196f94e5408b:0xe5800ef782bde3a6,Recife,BR,BR-PE,827,9.9619,0:00:43
0x94dce35351cdb3dd:0x6d2f6ba5bacbe809,Curitiba,BR,BR-PR,815,8.0104,0:00:35
0x716112050422ebd:0xf71c84369573db9d,Salvador,BR,BR-BA,792,8.1165,0:00:36
0x94c8c61de74b6325:0x17e53a6a2178c22a,Campinas,BR,BR-SP,711,7.7346,0:00:39
0x935ef6bd58d80867:0xef692bad20d2678e,Goiânia,BR,BR-GO,558,6.2881,0:00:40
0x95199cd2566acb1d:0x603111a89f87e91f,Porto Alegre,BR,BR-RS,555,5.4832,0:00:35
0x7ace839019aa3d7:0x6e414a9c6d26db34,João Pessoa,BR,BR-PB,447,4.556,0:00:36
0x926c1bc8b37647b7:0x2b485c9ff765a9cc,Manaus,BR,BR-AM,447,4.4248,0:00:35
0x70146fcd6688849:0xee2c725b43e07653,Maceió,BR,BR-AL,404,3.6619,0:00:32
0x92a461af84756ce1:0x570d540215864c35,Belém,BR,BR-PA,399,3.6017,0:00:32
0x71ab04015be27cd:0x804434fd92ec3b36,Aracaju,BR,BR-SE,364,3.8158,0:00:37
0x9527394eb2c632d7:0x81bc550b6a04c746,Florianópolis,BR,BR-SC,332,2.7912,0:00:30
0x7b0f2592da58feb:0x78da3ff6e4016c42,Açu,BR,BR-RN,309,2.7167,0:00:31
0x7f68ff06f7f6d21:0x983102e459a3de47,São Luís,BR,BR-MA,305,2.9412,0:00:34
0x94cc4bb3858cc2e7:0xba25a33168f8c1,São José dos Campos,BR,BR-SP,305,3.1984,0:00:37
0x94ce4278871d7eef:0x9eaaca862adb4ede,Santo André,BR,BR-SP,297,2.3537,0:00:28
0x94deafdc40afbc4b:0x4b39d148cac10ae7,Joinville,BR,BR-SC,287,2.4777,0:00:31
0x94cef53fb1b5e26d:0x974ce18d22c3555b,Guarulhos,BR,BR-SP,286,2.6909,0:00:33
