# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20220101
# Data de término: 20221231
Título da página e nome da tela,Visualizações,Usuários,Visualizações por usuário,Tempo médio de engajamento,Contagem de eventos,Conversões,Receita total
"Tribuna do Norte: Notícias, Imagens, Vídeos e Entrevistas",32552604,680391,47.84396619002897,858.6433756472381,97422519,60,0
"Tribuna do Norte - Natal: Notícias, Imagens, Vídeos e Entrevistas",1062521,61521,17.27086685847109,286.48667934526424,2662846,1,0
Diretor da Caixa é encontrado morto na sede do banco em Brasília - 20/07/2022 - Notícia - Tribuna do Norte,430955,358457,1.2022502001634785,52.60070524498057,1512328,0,0
Território Livre - Jornalismo com Personalidade,339091,18851,17.987958198504057,204.28889714073523,598885,3,0
"Bolsonaro atinge 51,2% da intenção de votos e ultrapassa Lula em nova pesquisa - 16/10/2022 - Notícia - Tribuna do Norte",335813,256406,1.3096924408945188,28.814029312886593,1420768,0,0
Classificados da Tribuna do Norte,267497,37110,7.208218808946375,172.63104284559418,731316,1,0
Blog do Heitor Gregório - Notícias de todo o RN para você.,264792,19882,13.318177245749924,211.3837642088321,577713,1,0
"Tribuna do Norte - Política: Notícias, Imagens, Vídeos e Entrevistas",228832,25073,9.126630239700075,226.12958162166473,682911,1,0
"Tribuna do Norte - Esportes: Notícias, Imagens, Vídeos e Entrevistas",227054,19884,11.41892979279823,206.99567491450412,671173,0,0
"Tribuna do Norte - Economia: Notícias, Imagens, Vídeos e Entrevistas",145859,9413,15.495484967598003,268.7408902581536,398706,0,0
Veja quais deputados estaduais foram eleitos no Rio Grande do Norte - 02/10/2022 - Notícia - Tribuna do Norte,117364,81683,1.43682283951373,71.60027178237821,419470,0,0
Coluna: Thiago Cavalcanti - Tribuna do Norte,110608,5394,20.50574712643678,803.0949202817945,221839,0,0
Você está pesquisando por no TN Online - Maior produtor de conteúdo jornalístico do RN,109631,9741,11.254593984190535,185.15860794579612,304190,0,0
Coluna: Cena Urbana - Vicente Serejo - Tribuna do Norte,107224,4456,24.062836624775585,988.915619389587,211798,0,0
Governo confirma pagamento da primeira parcela do 13º salário para este mês - 20/09/2022 - Notícia - Tribuna do Norte,100744,78259,1.2873151969741499,36.21196284133454,404668,0,0
Mega loja da Havan é impedida de inaugurar em Natal - 24/09/2022 - Notícia - Tribuna do Norte,100657,75277,1.3371547750308859,57.83714813289584,460434,0,0
Padre Kelmon é ou não é padre? Leia o que diz a Igreja Ortodoxa - 30/09/2022 - Notícia - Tribuna do Norte,90570,76811,1.1791279894806734,66.01656012810665,425261,0,0
Veja quais deputados federais foram eleitos no Rio Grande do Norte - 02/10/2022 - Notícia - Tribuna do Norte,90281,68358,1.3207086222534306,52.1511893267796,325555,0,0
Coluna: Rosalie Arruda - Tribuna do Norte,85105,4297,19.805678380265302,858.2704212241099,175323,0,0
Coluna: Alex Medeiros - Tribuna do Norte,76040,3490,21.787965616045845,932.4421203438395,154814,0,0
Promoções – Clube do Assinante,61837,3342,18.50299222022741,107.04219030520646,107154,1,0
Suspeito de homicídio de vendedora em Parnamirim é ouvido pela Polícia - 02/05/2022 - Notícia - Tribuna do Norte,61806,52884,1.1687088722486954,30.521556614476967,191879,0,0
"Tribuna do Norte - Colunas: Notícias, Imagens, Vídeos e Entrevistas",59412,3243,18.320074005550417,751.1424606845513,103495,0,0
"Entenda a origem do meme 'Bora, Bill', que viralizou nas redes sociais - 12/09/2022 - Notícia - Tribuna do Norte",58385,50227,1.1624226013896908,40.86857666195473,273082,2,0
"Tribuna do Norte - Viver: Notícias, Imagens, Vídeos e Entrevistas",56757,6862,8.271203730690761,131.16482075196737,137327,0,0
Coluna: Jornal de WM - Tribuna do Norte,54048,2815,19.2,896.9335701598579,104894,0,0
