"Data","Tweets published","impressões","engajamentos","taxa de engajamento","retweets","respostas","favoritos","cliques no perfil do usuário:","cliques no URL","cliques em hashtags:","expansões de detalhes:","cliques no link permanente","aberturas de aplicativos","instalações de aplicativo:","seguiram","Tweet enviado por e-mail","número de telefone discado","visualizações da mídia","engajamentos com mídia","impressões promovido(a)(s)","engajamentos promovido(a)(s)","taxa de engajamento promovido(a)(s)","retweets promovido(a)(s)","respostas promovido(a)(s)","favoritos promovido(a)(s)","cliques no perfil do usuário: promovido(a)(s)","cliques no URL promovido(a)(s)","cliques em hashtags: promovido(a)(s)","expansões de detalhes: promovido(a)(s)","cliques no link permanente promovido(a)(s)","aberturas de aplicativos promovido(a)(s)","instalações de aplicativo: promovido(a)(s)","seguiram promovido(a)(s)","Tweet enviado por e-mail promovido(a)(s)","número de telefone discado promovido(a)(s)","visualizações da mídia promovido(a)(s)","engajamentos com mídia promovido(a)(s)"
"2023-12-01","0","13751","333","0.024216420623954623","8","9","56","12","117","6","25","0","0","0","78","0","0","22","22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-02","0","10827","295","0.027246698069640713","8","8","51","10","155","0","10","0","0","0","52","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-03","0","12340","258","0.020907617504051863","2","5","32","14","135","1","9","0","0","0","40","0","0","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-04","0","13245","335","0.025292563231408077","7","4","40","9","166","8","23","0","0","0","76","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-05","0","10728","283","0.02637956748695004","12","3","29","7","114","8","29","0","0","0","70","0","0","12","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-06","0","12735","260","0.020416175893207697","4","4","0","8","114","8","23","0","0","0","83","0","0","16","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-07","0","12936","320","0.024737167594310452","14","3","48","6","140","2","14","0","0","0","91","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-08","0","10848","333","0.030696902654867256","14","10","39","4","121","0","16","0","0","0","115","0","0","15","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-09","0","9352","231","0.02470059880239521","11","4","37","8","67","4","6","0","0","0","94","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-10","0","9596","260","0.027094622759483118","3","14","32","2","101","9","19","0","0","0","79","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-11","0","12235","350","0.028606456885982835","14","6","77","6","146","5","12","0","0","0","84","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-12","0","11788","373","0.03164234815066169","9","8","35","7","183","5","31","0","0","0","82","0","0","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-13","0","13961","400","0.02865124274765418","11","16","80","12","147","4","43","0","0","0","81","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-14","0","13107","268","0.020447089341573205","8","5","32","10","104","2","22","0","0","0","79","0","0","7","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-15","0","12148","344","0.02831741850510372","12","12","50","12","88","6","17","0","0","0","140","0","0","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-16","0","11671","270","0.02313426441607403","8","8","56","16","143","4","13","0","0","0","21","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-17","0","13596","234","0.017210944395410415","2","5","37","6","139","5","14","0","0","0","26","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-18","0","14615","395","0.02702702702702703","14","8","48","10","183","9","46","0","0","0","77","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-19","0","13343","332","0.02488196057858053","14","2","45","5","129","5","22","0","0","0","94","0","0","18","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-20","0","12749","413","0.03239469762334301","18","3","54","8","167","4","29","0","0","0","120","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-21","0","13353","347","0.025986669662248184","16","3","39","15","106","7","24","0","0","0","111","0","0","26","26","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-22","0","12417","309","0.024885237980188452","4","7","41","3","123","11","23","0","0","0","93","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-23","0","8740","221","0.02528604118993135","3","9","21","4","77","0","19","0","0","0","88","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-24","0","7153","183","0.02558367118691458","2","2","21","7","53","0","5","0","0","0","92","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-12-25","0","24824","678","0.02731227844021914","17","26","129","17","383","0","53","0","0","0","53","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
