# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20240101
# Data de término: 20240131
Nº dia,Usuários
0000,42011
0001,47110
0002,46204
0003,51424
0004,55030
0005,47634
0006,35272
0007,41835
0008,61576
0009,51804
0010,51783
0011,54193
0012,46682
0013,44895
0014,50396
0015,53110
0016,53641
0017,61323
0018,51929
0019,42101
0020,52275
0021,65806
0022,52153
0023,61310
0024,74324
0025,65267
0026,42215
0027,43694
0028,49516
0029,74711
0030,68018

# Data de início: 20240101
# Data de término: 20240131
Nº dia,Novos usuários
0000,27155
0001,30016
0002,28507
0003,33041
0004,32871
0005,28007
0006,19999
0007,23376
0008,39419
0009,30382
0010,30123
0011,29370
0012,25665
0013,27272
0014,28576
0015,32316
0016,30827
0017,33072
0018,27773
0019,22765
0020,32913
0021,44562
0022,29266
0023,33207
0024,45536
0025,39447
0026,23159
0027,23706
0028,25363
0029,42818
0030,40622

# Data de início: 20240101
# Data de término: 20240131
Nº dia,Tempo médio de engajamento
0000,145.3092761419628
0001,162.30624071322435
0002,171.07486364816899
0003,151.6579223708774
0004,114.48295475195349
0005,97.03125918461603
0006,105.6132626445906
0007,108.50888012429783
0008,131.71862413927505
0009,167.2360628522894
0010,161.30141166019737
0011,152.18950787002012
0012,129.39601987918255
0013,134.76823699743846
0014,151.07530359552345
0015,167.5903784598004
0016,179.02298614865495
0017,144.3597671346803
0018,155.68171927054246
0019,131.80278378185793
0020,158.29601147776182
0021,188.80214570099992
0022,167.87653634498494
0023,159.39590605121515
0024,142.42161347613154
0025,137.5032711783903
0026,131.2297761459197
0027,152.20689339497414
0028,178.24460780353826
0029,157.96960286972467
0030,151.19875621159105

# Data de início: 20240101
# Data de término: 20240131
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
