# ----------------------------------------,,,,,,,,,
# https://tribunadonorte.com.br – GA4,,,,,,,,,
# visualizações por faixa etária-vizualizações por faixa etária,,,,,,,,,
# 20240101-20240131,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Idade,unknown,25-34,35-44,45-54,55-64,65+,18-24,Totais,
Título da página,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,
,2761454,146631,113324,109943,77490,72937,40268,3322047,Total geral
"""Bora Veranear"" chega à São Gonçalo do Amarante para mostrar cultura e tradições - Tribuna do Norte",555,32,35,27,23,18,0,690,
"""Cartilha"" lista regras para integrantes do PCC em Alcaçuz - Tribuna do Norte",22,0,0,0,0,0,0,22,
"""Crente Trader"" diz que saiu de Natal devido a ameaças a ele e à família - Tribuna do Norte",17,0,0,0,0,0,0,17,
"""Dia de diversão"" no Parque da Cidade será realizado neste domingo (28) - Tribuna do Norte",3225,226,151,111,94,60,119,3986,
"""Enem dos Concursos"" amplia vagas para cadastro reserva - Tribuna do Norte",71,0,0,0,0,0,0,71,
"""Enquanto Campos Corre, Sales Só Caminha” agita Tirol e Petrópolis no dia 03 de fevereiro - Território Livre",180,0,0,0,0,0,0,180,
"""Há exame que, para ser liberado pelo SUS, demora mais de um ano"" - Tribuna do Norte",32,0,0,0,0,0,0,32,
"""Joanna planejou, Álvaro entregou"" e alguém apagou... - Território Livre",377,0,0,0,0,0,0,377,
"""Mistura Verão"" estreia neste sábado (20) - Tribuna do Norte",119,0,0,0,0,0,0,119,
"""O aquecimento global é uma grande mentira"" - Tribuna do Norte",23,0,0,0,0,0,0,23,
"""Operação Virada"" intensifica segurança nos presídios da Grande Natal; entenda - Tribuna do Norte",326,29,36,32,11,10,0,444,
"""Paulinho é a pessoa que vai dar continuidade ao trabalho de Álvaro Dias"", diz Eriko Jácome - Tribuna do Norte",403,44,26,25,17,15,0,530,
"""Pouco a pouco a gente vai colocar nosso jeito de operar"", diz CEO da Zurich sobre Aeroporto - Tribuna do Norte",102,0,0,0,0,15,0,117,
"""Pouco a pouco a gente vai colocar nosso jeito de operar"", diz CEO da Zurich sobre Aeroporto de Natal - Tribuna do Norte",2232,115,100,79,69,96,17,2708,
"""Prazer sexual é um presente de Deus"", diz Papa Francisco ... Pornografia não está liberado para os católicos - Território Livre",78,0,0,0,0,0,0,78,
"""Turismo no Brasil: Tendências, Comportamentos e Crescimento em 2024"" - Tribuna do Norte",162,0,0,0,0,0,0,162,
"""Vou viver até os 95 anos"", garante Marinho Chagas - Tribuna do Norte",20,0,0,0,0,0,0,20,
"""É necessário união"", diz Marinho ao oficializar apoio à pré-candidatura de Paulinho Freire - Tribuna do Norte",563,35,21,36,33,27,0,715,
#boraveranear2024 | EP 01 | Bora se movimentar!🏃‍♀️🏄‍♀️ - Tribuna do Norte,40,0,0,0,0,0,0,40,
"#boraveranear2024 | EP 02 | São Gonçalo do Amarante: Fé, memória e resistência - Tribuna do Norte",45,0,0,0,0,0,0,45,
"BBB 24': Vanessa Lopes faz tratamento psiquiátrico após desististência, diz boletim médico - Tribuna do Norte",157,12,12,0,0,0,0,181,
BBB 24': saiba quando sai a lista dos participantes - Tribuna do Norte,209,0,13,0,0,0,0,222,
Comer como um padre' - Tribuna do Norte,41,0,0,0,0,0,0,41,
Crente Trader' será investigado pela Polícia Civil após denúncias em Natal; entenda - Tribuna do Norte,49,0,0,0,0,0,0,49,
"Escolha por Paulinho para representar o grupo será natural', diz vereadora Nina Souza - Tribuna do Norte",47,0,0,0,0,0,0,47,
"Lessa deve estar querendo proteger alguém', diz Domingos Brazão sobre caso Marielle - Tribuna do Norte",183,0,0,14,0,0,0,197,
"Seguiremos na defesa da democracia por todos os brasileiros', diz Haddad sobre um ano do 8/1 - Tribuna do Norte",33,0,0,0,0,0,0,33,
08-01: Governadora Fátima Bezerra será a 1ª autoridade a falar no ato pela Democracia - Território Livre,78,0,0,0,0,0,0,78,
11ª Mostra de Cinema de Gostoso divulga data de realização - Tribuna do Norte,202,0,13,0,0,0,0,215,
1968: O ano de ouro do Alecrim Futebol Clube - Tribuna do Norte,28,0,0,0,0,0,0,28,
