Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,,,,81437,6208.5257,0:04:34
0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,BR,BR-RN,26854,2915.6163,0:06:30
0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,BR,BR-RN,4380,334.223,0:04:34
0x7ac1e5f43201c85:0xc9656aec3aa6af51,Campina Grande,BR,BR-PB,2903,113.1694,0:02:20
0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,BR,BR-CE,2470,90.4397,0:02:11
0x7ace839019aa3d7:0x6e414a9c6d26db34,João Pessoa,BR,BR-PB,1901,106.3935,0:03:21
0x716112050422ebd:0xf71c84369573db9d,Salvador,BR,BR-BA,1222,40.0406,0:01:57
0x7ab196f94e5408b:0xe5800ef782bde3a6,Recife,BR,BR-PE,912,36.2606,0:02:23
0x7b3dc119a53884d:0x3f0cc62d53cda2c9,João Câmara,BR,BR-RN,852,41.5479,0:02:55
0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,BR,BR-SP,801,46.3164,0:03:28
0x7b25230dac88e1b:0x7195c0a9f2b9d399,Macaíba,BR,BR-RN,755,36.962,0:02:56
0x7ba06e074d5ce0b:0x46694ffe5df19ebe,Mossoró,BR,BR-RN,603,22.0384,0:02:11
0x7b3acc9c09de343:0xb7cb25040c2d108e,São Gonçalo do Amarante,BR,BR-RN,591,24.9339,0:02:31
0x7b3ba9a78752cb7:0x3d7bde314ec9ded5,Ceará-Mirim,BR,BR-RN,548,26.0642,0:02:51
0x70146fcd6688849:0xee2c725b43e07653,Maceió,BR,BR-AL,504,16.6158,0:01:58
0x7f68ff06f7f6d21:0x983102e459a3de47,São Luís,BR,BR-MA,462,32.1093,0:04:10
0x7b29ad52d1affcf:0x83616ed82aed7626,Pipa,BR,BR-RN,451,14.7765,0:01:57
0x7b25fc7358f3f71:0x156ca96a2341ac50,São José de Mipibu,BR,BR-RN,396,14.4992,0:02:11
0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,BR,BR-RJ,396,21.81,0:03:18
0x7b22f8ce4cc29c7:0xa2be3cf41fbc7387,São Paulo do Potengi,BR,BR-RN,354,15.1795,0:02:34
0x7b1d60c556d3a7d:0x4a693f33df757168,Currais Novos,BR,BR-RN,337,13.9423,0:02:28
0x7b1fbebe99aa675:0xdc92d59b9446df0a,Santa Cruz,BR,BR-RN,258,9.7029,0:02:15
0x7b27683c240dddb:0x331d2ec031e01ab8,Santo Antônio,BR,BR-RN,253,9.3692,0:02:13
0x7b0f2592da58feb:0x78da3ff6e4016c42,Açu,BR,BR-RN,208,7.9554,0:02:17
0x9486e6726b2b9f27:0xf5a8469ebc84d2c1,Campo Grande,BR,BR-MS,182,11.2736,0:03:42
0x7adb41082fa56fb:0x1d6fccb961a28124,Guarabira,BR,BR-PB,180,6.832,0:02:16
0x71439dbd0766da9:0xed4d58d8df9d5ffe,Feira de Santana,BR,BR-BA,147,2.2565,0:00:55
0x92a461af84756ce1:0x570d540215864c35,Belém,BR,BR-PA,144,3.7061,0:01:32
0x7ac2890159d88db:0x1bb834a9c6a2f643,Esperança,BR,BR-PB,133,6.7887,0:03:03
0x71ab04015be27cd:0x804434fd92ec3b36,Aracaju,BR,BR-SE,129,5.9346,0:02:45
