"Data","Tweets published","impressões","engajamentos","taxa de engajamento","retweets","respostas","favoritos","cliques no perfil do usuário:","cliques no URL","cliques em hashtags:","expansões de detalhes:","cliques no link permanente","aberturas de aplicativos","instalações de aplicativo:","seguiram","Tweet enviado por e-mail","número de telefone discado","visualizações da mídia","engajamentos com mídia","impressões promovido(a)(s)","engajamentos promovido(a)(s)","taxa de engajamento promovido(a)(s)","retweets promovido(a)(s)","respostas promovido(a)(s)","favoritos promovido(a)(s)","cliques no perfil do usuário: promovido(a)(s)","cliques no URL promovido(a)(s)","cliques em hashtags: promovido(a)(s)","expansões de detalhes: promovido(a)(s)","cliques no link permanente promovido(a)(s)","aberturas de aplicativos promovido(a)(s)","instalações de aplicativo: promovido(a)(s)","seguiram promovido(a)(s)","Tweet enviado por e-mail promovido(a)(s)","número de telefone discado promovido(a)(s)","visualizações da mídia promovido(a)(s)","engajamentos com mídia promovido(a)(s)"
"2024-02-01","0","1567","26","0.016592214422463305","2","0","0","0","18","0","1","0","0","0","1","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-02","0","1365","31","0.02271062271062271","2","1","4","3","17","0","2","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-03","0","501","6","0.011976047904191617","0","0","1","0","3","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-04","0","363","5","0.013774104683195593","0","0","1","0","1","0","2","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-05","0","699","10","0.01430615164520744","0","0","0","0","6","0","2","0","0","0","2","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-06","0","1083","12","0.0110803324099723","0","0","0","1","7","0","1","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-07","0","1837","35","0.01905280348394121","1","1","4","2","17","1","1","0","0","0","3","0","0","18","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-08","0","1203","30","0.02493765586034913","3","1","4","2","15","0","0","0","0","0","2","0","0","40","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-09","0","1163","23","0.019776440240756664","2","0","4","2","10","0","3","0","0","0","2","0","0","3","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-10","0","776","13","0.01675257731958763","1","0","1","2","3","0","2","0","0","0","3","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-11","0","248","2","0.008064516129032258","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-12","0","108","1","0.009259259259259259","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-13","0","90","1","0.011111111111111112","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-14","0","632","7","0.011075949367088608","0","0","0","1","4","0","0","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-15","0","1527","14","0.0091683038637852","0","0","1","0","9","0","0","0","0","0","3","0","0","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-16","0","1637","19","0.011606597434331093","2","1","0","1","8","0","1","0","0","0","5","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-17","0","514","5","0.009727626459143969","0","0","1","0","4","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-18","0","150","6","0.04","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-19","0","1174","23","0.019591141396933562","0","0","0","1","18","0","1","0","0","0","1","0","0","39","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-20","0","1511","19","0.01257445400397088","0","0","2","0","11","0","1","0","0","0","2","0","0","10","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-21","0","1689","26","0.015393724097098875","1","1","2","3","8","0","3","0","0","0","4","0","0","38","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-22","0","1472","31","0.021059782608695652","2","0","8","0","10","0","0","0","0","0","2","0","0","61","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-23","0","1313","45","0.03427265803503427","0","0","3","3","16","0","3","0","0","0","4","0","0","55","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-24","0","434","19","0.04377880184331797","0","0","0","0","0","1","0","0","0","0","3","0","0","22","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-25","0","297","6","0.020202020202020204","0","0","0","0","1","0","0","0","0","0","5","0","0","5","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-26","0","1316","47","0.03571428571428571","2","1","10","2","24","0","1","0","0","0","3","0","0","52","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-27","0","1716","28","0.016317016317016316","1","0","1","0","17","0","0","0","0","0","5","0","0","12","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-28","0","1170","16","0.013675213675213675","0","1","0","0","11","1","0","0","0","0","2","0","0","5","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-29","0","1246","12","0.009630818619582664","0","0","0","1","6","0","2","0","0","0","0","0","0","4","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
