Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,,,,137294,4193.4998,0:01:49
0x7b3aaac26460531:0x5d8b404cf00fed69,Natal,BR,BR-RN,11509,583.6237,0:03:02
0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,BR,BR-SP,4479,68.401,0:00:54
0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,Fortaleza,BR,BR-CE,2147,69.0748,0:01:55
0x7b2f876e5d327eb:0xff5050610bbf80db,Parnamirim,BR,BR-RN,1883,103.4288,0:03:17
0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,BR,BR-RJ,1746,21.7429,0:00:44
0xa690cacacf2c33:0x5b35795e3ad23997,Belo Horizonte,BR,BR-MG,1089,12.8225,0:00:42
0x7ba06e074d5ce0b:0x46694ffe5df19ebe,Mossoró,BR,BR-RN,987,50.0692,0:03:02
0x935a3d18df9ae275:0x738470e469754a24,Brasília,BR,BR-DF,946,11.7766,0:00:44
0x7ab196f94e5408b:0xe5800ef782bde3a6,Recife,BR,BR-PE,940,34.4056,0:02:11
0x716112050422ebd:0xf71c84369573db9d,Salvador,BR,BR-BA,718,9.6497,0:00:48
0x94dce35351cdb3dd:0x6d2f6ba5bacbe809,Curitiba,BR,BR-PR,676,7.4905,0:00:39
0x94c8c61de74b6325:0x17e53a6a2178c22a,Campinas,BR,BR-SP,623,7.3281,0:00:42
0x935ef6bd58d80867:0xef692bad20d2678e,Goiânia,BR,BR-GO,465,5.9589,0:00:46
0x95199cd2566acb1d:0x603111a89f87e91f,Porto Alegre,BR,BR-RS,434,4.6153,0:00:38
0x926c1bc8b37647b7:0x2b485c9ff765a9cc,Manaus,BR,BR-AM,425,5.3974,0:00:45
0x7ace839019aa3d7:0x6e414a9c6d26db34,João Pessoa,BR,BR-PB,422,11.7019,0:01:39
0x7b0f2592da58feb:0x78da3ff6e4016c42,Açu,BR,BR-RN,398,48.5396,0:07:19
0x92a461af84756ce1:0x570d540215864c35,Belém,BR,BR-PA,358,4.781,0:00:48
0x7b3dc119a53884d:0x3f0cc62d53cda2c9,João Câmara,BR,BR-RN,331,45.9861,0:08:20
0x7f68ff06f7f6d21:0x983102e459a3de47,São Luís,BR,BR-MA,323,4.336,0:00:48
0x70146fcd6688849:0xee2c725b43e07653,Maceió,BR,BR-AL,286,3.0041,0:00:37
0x7ac1e5f43201c85:0xc9656aec3aa6af51,Campina Grande,BR,BR-PB,253,5.7512,0:01:21
0x78e32519a8599c7:0xd4483d47c29fd9c6,Teresina,BR,BR-PI,237,4.3003,0:01:05
0x9486e6726b2b9f27:0xf5a8469ebc84d2c1,Campo Grande,BR,BR-MS,237,3.0009,0:00:45
0x7b1d60c556d3a7d:0x4a693f33df757168,Currais Novos,BR,BR-RN,231,3.9749,0:01:01
0x9527394eb2c632d7:0x81bc550b6a04c746,Florianópolis,BR,BR-SC,229,2.414,0:00:37
0x94cc4bb3858cc2e7:0xba25a33168f8c1,São José dos Campos,BR,BR-SP,195,2.3096,0:00:42
0x94deafdc40afbc4b:0x4b39d148cac10ae7,Joinville,BR,BR-SC,189,2.075,0:00:39
0x94b9bf1d68acc21d:0x37b8ee0abedeea39,Ribeirão Preto,BR,BR-SP,187,2.2805,0:00:43
0x94cef53fb1b5e26d:0x974ce18d22c3555b,Guarulhos,BR,BR-SP,187,2.0596,0:00:39
0x71ab04015be27cd:0x804434fd92ec3b36,Aracaju,BR,BR-SE,179,2.3167,0:00:46
0x94a4450c10bbbaef:0xae370c93616d5c9c,Uberlândia,BR,BR-MG,173,2.1233,0:00:44
0x94c5f54bcad87989:0x4a9099fb9d10cb8e,Sorocaba,BR,BR-SP,167,1.8255,0:00:39
0x939da56670d84fc5:0x4e504e08900e510e,Cuiabá,BR,BR-MT,151,1.9429,0:00:46
0xb817b2995d6bf1:0xf69aa51e4ff904b1,Vila Velha,BR,BR-ES,145,1.8722,0:00:46
0x94eb435a57af586d:0x23ac11a5c614f971,Londrina,BR,BR-PR,142,1.7484,0:00:44
0x7b27683c240dddb:0x331d2ec031e01ab8,Santo Antônio,BR,BR-RN,140,8.4411,0:03:37
0x94ce4278871d7eef:0x9eaaca862adb4ede,Santo André,BR,BR-SP,140,1.6402,0:00:42
0x92325b665998520b:0x75d0f25ad2c5198b,Porto Velho,BR,BR-RO,136,1.6894,0:00:44
0x94ecd6ee42618c1f:0xc356592828e03925,Maringá,BR,BR-PR,136,1.5787,0:00:41
0x94ceff085b9ef207:0xf21e27d4c824c4e,Osasco,BR,BR-SP,134,1.4649,0:00:39
0x989c43e1f85da1:0x6236b026b3a0a468,Juiz de Fora,BR,BR-MG,134,2.1117,0:00:56
0x7afed967d8e39a1:0xa3ea45eaea46de3b,Caicó,BR,BR-RN,129,3.1241,0:01:27
0x94ce00420b733eab:0xf42377f671ac1314,Guarujá,BR,BR-SP,124,1.5649,0:00:45
0x7aae28fb2057b8d:0x5ff50166f4ee58b1,Jaboatão dos Guararapes,BR,BR-PE,121,1.5391,0:00:45
0x7ad8fb3d81d0a07:0x3db470621b2d143a,Nova Cruz,BR,BR-RN,121,6.8269,0:03:23
0x94ce3fc6927dd0c3:0xcdcd0d550f9656cf,São Bernardo do Campo,BR,BR-SP,120,1.7648,0:00:52
0xa694c47adf61e9:0x5132472e55aea70c,Contagem,BR,BR-MG,116,1.2994,0:00:40
0x94bf689c0ddaa221:0x251c368f6fa134a0,Bauru,BR,BR-SP,114,1.4611,0:00:46
0x9985c034c8b985:0x262ee793dfcc1775,Niterói,BR,BR-RJ,114,1.2196,0:00:38
0x94ce03423c3b1c3b:0x584dceedfc63644f,Santos,BR,BR-SP,113,1.2154,0:00:38
0x9972edfbe838f5:0x672bb060c280a52a,Duque de Caxias,BR,BR-RJ,107,1.1815,0:00:39
0x7b1fbebe99aa675:0xdc92d59b9446df0a,Santa Cruz,BR,BR-RN,106,12.2368,0:06:55
0x71439dbd0766da9:0xed4d58d8df9d5ffe,Feira de Santana,BR,BR-BA,105,1.3721,0:00:47
0x7b29ad52d1affcf:0x83616ed82aed7626,Pipa,BR,BR-RN,103,4.3164,0:02:30
0x94df1e408b5c3095:0xacfb8520bc1a7644,Blumenau,BR,BR-SC,103,1.0726,0:00:37
0x9990f48a8830e1:0x96e11303c14c3674,São Gonçalo,BR,BR-RJ,103,1.329,0:00:46
0xab54b430dce6f5:0x231bf948b0041bbb,Montes Claros,BR,BR-MG,102,1.397,0:00:49
0x94bdad614c2df789:0x8f2fb0f070642c09,São José do Rio Preto,BR,BR-SP,101,1.1236,0:00:40
0x738b38a9554ff4f:0x71f06c3510ebd834,Ipiaú,BR,BR-BA,96,2.2323,0:01:23
0x94b0a9b35dc60831:0x68b8558a69681462,Franca,BR,BR-SP,96,1.0874,0:00:40
0x995d694889f955:0x23ff502568217834,Nova Iguaçu,BR,BR-RJ,95,1.0249,0:00:38
0x8d61e5e06b4b1a37:0x56357df330df0f97,Macapá,BR,BR-AP,90,1.1133,0:00:44
0x92c3a11f6e9a3be7:0xd5164004425256e9,Marabá,BR,BR-PA,89,0.6996,0:00:28
0x917f7bb68acc96f3:0x8ab88f1d7f1d9b3c,Rio Branco,BR,BR-AC,88,1.1782,0:00:48
0xb81fa3965b36af:0x521cd91111dd2e08,Serra,BR,BR-ES,88,0.9716,0:00:39
0x94cf24293cc00531:0xf686a1c1163c6bbb,Jundiaí,BR,BR-SP,86,1.0485,0:00:43
0x7b3acc9c09de343:0xb7cb25040c2d108e,São Gonçalo do Amarante,BR,BR-RN,85,1.3679,0:00:57
0x8d9305cacbaaa4db:0xb72e65c7a9d75f45,Boa Vista,BR,BR-RR,85,1.3331,0:00:56
0xb83d5d85374ee9:0x97595e7ea70ed809,Vitória,BR,BR-ES,85,1.0821,0:00:45
0x7463b073025e405:0x78be45452bd92ae3,Vitória da Conquista,BR,BR-BA,84,1.0082,0:00:43
0x7adb41082fa56fb:0x1d6fccb961a28124,Guarabira,BR,BR-PB,84,3.5231,0:02:30
0x7bbd776ef1eb865:0x82fba3b801984c31,Limoeiro do Norte,BR,BR-CE,84,1.864,0:01:19
