"Data","Tweets published","impressões","engajamentos","taxa de engajamento","retweets","respostas","favoritos","cliques no perfil do usuário:","cliques no URL","cliques em hashtags:","expansões de detalhes:","cliques no link permanente","aberturas de aplicativos","instalações de aplicativo:","seguiram","Tweet enviado por e-mail","número de telefone discado","visualizações da mídia","engajamentos com mídia","impressões promovido(a)(s)","engajamentos promovido(a)(s)","taxa de engajamento promovido(a)(s)","retweets promovido(a)(s)","respostas promovido(a)(s)","favoritos promovido(a)(s)","cliques no perfil do usuário: promovido(a)(s)","cliques no URL promovido(a)(s)","cliques em hashtags: promovido(a)(s)","expansões de detalhes: promovido(a)(s)","cliques no link permanente promovido(a)(s)","aberturas de aplicativos promovido(a)(s)","instalações de aplicativo: promovido(a)(s)","seguiram promovido(a)(s)","Tweet enviado por e-mail promovido(a)(s)","número de telefone discado promovido(a)(s)","visualizações da mídia promovido(a)(s)","engajamentos com mídia promovido(a)(s)"
"2023-08-01","0","27371","470","0.017171458843301304","17","15","84","13","270","0","35","0","0","0","35","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-08-02","0","27558","537","0.019486174613542347","29","27","94","6","266","0","41","0","0","0","44","0","0","400","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-08-03","0","26247","489","0.01863070065150303","14","13","76","16","293","0","26","0","0","0","49","0","0","82","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-08-04","0","27015","557","0.020618175087914123","22","12","87","15","344","0","43","0","0","0","32","0","0","11","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-08-05","0","13013","325","0.024975024975024976","18","8","41","10","188","0","21","0","0","0","39","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-08-06","0","20567","484","0.02353284387611222","10","17","73","31","264","0","33","0","0","0","52","0","0","9","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-08-07","0","22377","505","0.022567815167359343","15","7","71","9","326","0","40","0","0","0","37","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-08-08","0","26228","690","0.02630776269635504","22","23","74","9","455","0","67","0","0","0","40","0","0","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-08-09","0","23025","577","0.02505971769815418","14","17","91","18","368","0","35","0","0","0","34","0","0","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-08-10","0","22441","423","0.018849427387371328","15","13","68","13","270","0","24","0","0","0","20","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-08-11","0","23144","510","0.022035948842032492","15","10","88","18","327","0","28","0","0","0","24","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
