# ----------------------------------------,,,,,,,,,
# https://tribunadonorte.com.br – GA4,,,,,,,,,
# Visualizações por faixa etária-Visualizações por faixa etária,,,,,,,,,
# 20240201-20240229,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Idade,unknown,25-34,35-44,45-54,55-64,65+,18-24,Totais,
Título da página e nome da tela,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,Visualizações,
,1669964,279688,263754,263402,190986,182388,95910,2946092,Total geral
Portal - TN - Tribuna do Norte,230370,53423,60444,62866,29649,30099,14169,481020,
Blog do Heitor Gregório - Notícias de todo o RN para você.,469832,880,794,1557,1584,1322,142,476111,
Portal - Tribuna do Norte,136570,34773,34890,32979,18002,15138,9580,281932,
Pesquisa testa novo tratamento para depressão - Tribuna do Norte,28508,8088,7099,7491,6377,4458,2917,64938,
Dono de sítio que abrigou fugitivos do presídio de Mossoró é preso pela PF - Tribuna do Norte,13359,3243,3654,4190,5871,6102,782,37201,
Território Livre - Jornalismo com Personalidade,21226,1747,4319,2670,1818,2996,554,35330,
Argentina barra brasileiros em aeroporto sob alegação de que são “falsos turistas” - Tribuna do Norte,15750,2905,3149,3214,3861,3872,887,33638,
Arquiteta é condenada a indenizar cliente estrangeiro em mais de R$ 100 mil em Natal - Tribuna do Norte,14166,3305,3250,3174,3567,3085,1149,31696,
Fazenda é flagrada fazendo “gato” de energia para irrigar plantações no interior do RN - Tribuna do Norte,7687,2466,2104,2087,2176,1841,788,19149,
Carnaval em Natal começa nesta quinta-feira (8); confira programação nos polos da folia - Tribuna do Norte,6952,1988,1427,1104,741,500,1175,13887,
Arquivo de Natal - Tribuna do Norte,6694,1844,1475,1274,682,1210,698,13877,
BR-101 deve ter novo acesso pela marginal a partir de março; entenda - Tribuna do Norte,5398,1537,1434,1415,1582,1385,470,13221,
"Pênalti ""bizarro"" em ABC x Maranhão repercute nacionalmente; veja vídeo - Tribuna do Norte",5094,1522,1392,1335,1537,1359,440,12679,
"Oitavo andar do Hotel BRA começa a ser demolido, 19 anos após embargo - Tribuna do Norte",5065,1218,1216,1385,1759,1775,231,12649,
Polícia Federal prende irmão de fugitivo da Penitenciária Federal de Mossoró - Tribuna do Norte,5211,1060,1135,1412,1706,1687,187,12398,
Ivete Sangalo chora e fala em despedida após série de problemas em carnaval - Tribuna do Norte,4791,1230,1413,1521,1709,1354,259,12277,
Plantão de Notícias - Tribuna do Norte,5148,1149,1123,1144,1078,1010,366,11018,
Inmet alerta para chuvas de até 100mm e ventos fortes em todo RN - Tribuna do Norte,4622,1460,1122,1144,1155,874,458,10835,
Suspeito de ajudar fugitivos de presídio federal de Mossoró é preso - Tribuna do Norte,3280,884,935,1122,1571,1985,211,9988,
Prazo para adesão ao Simples é prorrogado até 5 de março - Tribuna do Norte,5824,1378,980,644,260,179,599,9864,
"Confira programação completa de shows, blocos e troças do Carnaval de Natal - Tribuna do Norte",4851,1394,1017,579,337,177,997,9352,
Página não encontrada - Tribuna do Norte,4970,1002,770,660,664,535,724,9325,
