"Data","Tweets published","impressões","engajamentos","taxa de engajamento","retweets","respostas","favoritos","cliques no perfil do usuário:","cliques no URL","cliques em hashtags:","expansões de detalhes:","cliques no link permanente","aberturas de aplicativos","instalações de aplicativo:","seguiram","Tweet enviado por e-mail","número de telefone discado","visualizações da mídia","engajamentos com mídia","impressões promovido(a)(s)","engajamentos promovido(a)(s)","taxa de engajamento promovido(a)(s)","retweets promovido(a)(s)","respostas promovido(a)(s)","favoritos promovido(a)(s)","cliques no perfil do usuário: promovido(a)(s)","cliques no URL promovido(a)(s)","cliques em hashtags: promovido(a)(s)","expansões de detalhes: promovido(a)(s)","cliques no link permanente promovido(a)(s)","aberturas de aplicativos promovido(a)(s)","instalações de aplicativo: promovido(a)(s)","seguiram promovido(a)(s)","Tweet enviado por e-mail promovido(a)(s)","número de telefone discado promovido(a)(s)","visualizações da mídia promovido(a)(s)","engajamentos com mídia promovido(a)(s)"
"2024-02-01","0","10793","285","0.0264060038914111","9","3","32","9","95","7","23","0","0","0","60","0","0","285","47","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-02","0","10522","321","0.03050750807831211","4","8","26","9","130","9","27","0","0","0","77","0","0","42","31","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-03","0","10241","236","0.023044624548383946","7","12","21","23","96","7","16","0","0","0","52","0","0","14","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-04","0","13043","320","0.024534232921873803","13","21","32","14","143","2","16","0","0","0","61","0","0","21","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-05","0","12993","318","0.024474717155391363","4","4","40","14","124","6","14","0","0","0","112","0","0","6","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-06","0","13311","232","0.017429193899782137","9","6","29","7","89","9","14","0","0","0","57","0","0","14","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-07","0","13740","371","0.027001455604075693","15","5","34","9","144","8","40","0","0","0","74","0","0","42","42","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-08","0","15640","355","0.022698209718670075","6","26","50","16","141","9","43","0","0","0","57","0","0","8","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-09","0","14490","405","0.027950310559006212","10","22","60","12","177","15","38","0","0","0","64","0","0","8","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-10","0","8858","210","0.02370738315646873","5","2","20","9","68","8","14","0","0","0","83","0","0","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-11","0","12424","226","0.018190598840952994","5","6","36","4","105","3","23","0","0","0","43","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-12","0","14648","288","0.019661387220098307","4","4","29","7","138","11","40","0","0","0","54","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-13","0","8797","173","0.019665795157440037","6","2","25","6","75","2","13","0","0","0","44","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-14","0","16452","460","0.027960126428397764","15","10","42","5","276","14","40","0","0","0","58","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-02-15","0","14025","322","0.022959001782531196","16","5","29","10","165","11","20","0","0","0","55","0","0","11","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
